index_id,change_date,previous_snapshot_date,change_type,code,code_name
hs300,2026-03-02,,add,sh.600000,浦发银行
hs300,2026-03-02,,add,sh.600009,上海机场
hs300,2026-03-02,,add,sh.600010,包钢股份
hs300,2026-03-02,,add,sh.600011,华能国际
hs300,2026-03-02,,add,sh.600015,华夏银行
hs300,2026-03-02,,add,sh.600016,民生银行
hs300,2026-03-02,,add,sh.600018,上港集团
hs300,2026-03-02,,add,sh.600019,宝钢股份
hs300,2026-03-02,,add,sh.600023,浙能电力
hs300,2026-03-02,,add,sh.600025,华能水电
hs300,2026-03-02,,add,sh.600026,中远海能
hs300,2026-03-02,,add,sh.600027,华电国际
hs300,2026-03-02,,add,sh.600028,中国石化
hs300,2026-03-02,,add,sh.600029,南方航空
hs300,2026-03-02,,add,sh.600030,中信证券
hs300,2026-03-02,,add,sh.600031,三一重工
hs300,2026-03-02,,add,sh.600036,招商银行
hs300,2026-03-02,,add,sh.600039,四川路桥
hs300,2026-03-02,,add,sh.600048,保利发展
hs300,2026-03-02,,add,sh.600050,中国联通
hs300,2026-03-02,,add,sh.600061,国投资本
hs300,2026-03-02,,add,sh.600066,宇通客车
hs300,2026-03-02,,add,sh.600085,同仁堂
hs300,2026-03-02,,add,sh.600089,特变电工
hs300,2026-03-02,,add,sh.600104,上汽集团
hs300,2026-03-02,,add,sh.600111,北方稀土
hs300,2026-03-02,,add,sh.600115,中国东航
hs300,2026-03-02,,add,sh.600150,中国船舶
hs300,2026-03-02,,add,sh.600160,巨化股份
hs300,2026-03-02,,add,sh.600161,天坛生物
hs300,2026-03-02,,add,sh.600176,中国巨石
hs300,2026-03-02,,add,sh.600183,生益科技
hs300,2026-03-02,,add,sh.600188,兖矿能源
hs300,2026-03-02,,add,sh.600196,复星医药
hs300,2026-03-02,,add,sh.600219,南山铝业
hs300,2026-03-02,,add,sh.600233,圆通速递
hs300,2026-03-02,,add,sh.600276,恒瑞医药
hs300,2026-03-02,,add,sh.600309,万华化学
hs300,2026-03-02,,add,sh.600346,恒力石化
hs300,2026-03-02,,add,sh.600362,江西铜业
hs300,2026-03-02,,add,sh.600372,中航机载
hs300,2026-03-02,,add,sh.600377,宁沪高速
hs300,2026-03-02,,add,sh.600406,国电南瑞
hs300,2026-03-02,,add,sh.600415,小商品城
hs300,2026-03-02,,add,sh.600426,华鲁恒升
hs300,2026-03-02,,add,sh.600436,片仔癀
hs300,2026-03-02,,add,sh.600438,通威股份
hs300,2026-03-02,,add,sh.600460,士兰微
hs300,2026-03-02,,add,sh.600482,中国动力
hs300,2026-03-02,,add,sh.600489,中金黄金
hs300,2026-03-02,,add,sh.600515,海南机场
hs300,2026-03-02,,add,sh.600519,贵州茅台
hs300,2026-03-02,,add,sh.600522,中天科技
hs300,2026-03-02,,add,sh.600547,山东黄金
hs300,2026-03-02,,add,sh.600570,恒生电子
hs300,2026-03-02,,add,sh.600584,长电科技
hs300,2026-03-02,,add,sh.600585,海螺水泥
hs300,2026-03-02,,add,sh.600588,用友网络
hs300,2026-03-02,,add,sh.600600,青岛啤酒
hs300,2026-03-02,,add,sh.600660,福耀玻璃
hs300,2026-03-02,,add,sh.600674,川投能源
hs300,2026-03-02,,add,sh.600690,海尔智家
hs300,2026-03-02,,add,sh.600741,华域汽车
hs300,2026-03-02,,add,sh.600760,中航沈飞
hs300,2026-03-02,,add,sh.600795,国电电力
hs300,2026-03-02,,add,sh.600803,新奥股份
hs300,2026-03-02,,add,sh.600809,山西汾酒
hs300,2026-03-02,,add,sh.600845,宝信软件
hs300,2026-03-02,,add,sh.600875,东方电气
hs300,2026-03-02,,add,sh.600886,国投电力
hs300,2026-03-02,,add,sh.600887,伊利股份
hs300,2026-03-02,,add,sh.600893,航发动力
hs300,2026-03-02,,add,sh.600900,长江电力
hs300,2026-03-02,,add,sh.600905,三峡能源
hs300,2026-03-02,,add,sh.600918,中泰证券
hs300,2026-03-02,,add,sh.600919,江苏银行
hs300,2026-03-02,,add,sh.600926,杭州银行
hs300,2026-03-02,,add,sh.600930,华电新能
hs300,2026-03-02,,add,sh.600938,中国海油
hs300,2026-03-02,,add,sh.600941,中国移动
hs300,2026-03-02,,add,sh.600958,东方证券
hs300,2026-03-02,,add,sh.600989,宝丰能源
hs300,2026-03-02,,add,sh.600999,招商证券
hs300,2026-03-02,,add,sh.601006,大秦铁路
hs300,2026-03-02,,add,sh.601009,南京银行
hs300,2026-03-02,,add,sh.601012,隆基绿能
hs300,2026-03-02,,add,sh.601018,宁波港
hs300,2026-03-02,,add,sh.601021,春秋航空
hs300,2026-03-02,,add,sh.601058,赛轮轮胎
hs300,2026-03-02,,add,sh.601059,信达证券
hs300,2026-03-02,,add,sh.601066,中信建投
hs300,2026-03-02,,add,sh.601077,渝农商行
hs300,2026-03-02,,add,sh.601088,中国神华
hs300,2026-03-02,,add,sh.601100,恒立液压
hs300,2026-03-02,,add,sh.601111,中国国航
hs300,2026-03-02,,add,sh.601117,中国化学
hs300,2026-03-02,,add,sh.601127,赛力斯
hs300,2026-03-02,,add,sh.601136,首创证券
hs300,2026-03-02,,add,sh.601138,工业富联
hs300,2026-03-02,,add,sh.601166,兴业银行
hs300,2026-03-02,,add,sh.601169,北京银行
hs300,2026-03-02,,add,sh.601186,中国铁建
hs300,2026-03-02,,add,sh.601211,国泰海通
hs300,2026-03-02,,add,sh.601225,陕西煤业
hs300,2026-03-02,,add,sh.601229,上海银行
hs300,2026-03-02,,add,sh.601236,红塔证券
hs300,2026-03-02,,add,sh.601238,广汽集团
hs300,2026-03-02,,add,sh.601288,农业银行
hs300,2026-03-02,,add,sh.601298,青岛港
hs300,2026-03-02,,add,sh.601318,中国平安
hs300,2026-03-02,,add,sh.601319,中国人保
hs300,2026-03-02,,add,sh.601328,交通银行
hs300,2026-03-02,,add,sh.601336,新华保险
hs300,2026-03-02,,add,sh.601360,三六零
hs300,2026-03-02,,add,sh.601377,兴业证券
hs300,2026-03-02,,add,sh.601390,中国中铁
hs300,2026-03-02,,add,sh.601398,工商银行
hs300,2026-03-02,,add,sh.601456,国联民生
hs300,2026-03-02,,add,sh.601600,中国铝业
hs300,2026-03-02,,add,sh.601601,中国太保
hs300,2026-03-02,,add,sh.601607,上海医药
hs300,2026-03-02,,add,sh.601618,中国中冶
hs300,2026-03-02,,add,sh.601628,中国人寿
hs300,2026-03-02,,add,sh.601633,长城汽车
hs300,2026-03-02,,add,sh.601658,邮储银行
hs300,2026-03-02,,add,sh.601668,中国建筑
hs300,2026-03-02,,add,sh.601669,中国电建
hs300,2026-03-02,,add,sh.601688,华泰证券
hs300,2026-03-02,,add,sh.601689,拓普集团
hs300,2026-03-02,,add,sh.601698,中国卫通
hs300,2026-03-02,,add,sh.601728,中国电信
hs300,2026-03-02,,add,sh.601766,中国中车
hs300,2026-03-02,,add,sh.601788,光大证券
hs300,2026-03-02,,add,sh.601800,中国交建
hs300,2026-03-02,,add,sh.601808,中海油服
hs300,2026-03-02,,add,sh.601816,京沪高铁
hs300,2026-03-02,,add,sh.601818,光大银行
hs300,2026-03-02,,add,sh.601825,沪农商行
hs300,2026-03-02,,add,sh.601838,成都银行
hs300,2026-03-02,,add,sh.601857,中国石油
hs300,2026-03-02,,add,sh.601868,中国能建
hs300,2026-03-02,,add,sh.601872,招商轮船
hs300,2026-03-02,,add,sh.601877,正泰电器
hs300,2026-03-02,,add,sh.601878,浙商证券
hs300,2026-03-02,,add,sh.601881,中国银河
hs300,2026-03-02,,add,sh.601888,中国中免
hs300,2026-03-02,,add,sh.601898,中煤能源
hs300,2026-03-02,,add,sh.601899,紫金矿业
hs300,2026-03-02,,add,sh.601901,方正证券
hs300,2026-03-02,,add,sh.601916,浙商银行
hs300,2026-03-02,,add,sh.601919,中远海控
hs300,2026-03-02,,add,sh.601939,建设银行
hs300,2026-03-02,,add,sh.601985,中国核电
hs300,2026-03-02,,add,sh.601988,中国银行
hs300,2026-03-02,,add,sh.601995,中金公司
hs300,2026-03-02,,add,sh.601998,中信银行
hs300,2026-03-02,,add,sh.603019,中科曙光
hs300,2026-03-02,,add,sh.603195,公牛集团
hs300,2026-03-02,,add,sh.603259,药明康德
hs300,2026-03-02,,add,sh.603260,合盛硅业
hs300,2026-03-02,,add,sh.603288,海天味业
hs300,2026-03-02,,add,sh.603296,华勤技术
hs300,2026-03-02,,add,sh.603369,今世缘
hs300,2026-03-02,,add,sh.603392,万泰生物
hs300,2026-03-02,,add,sh.603501,豪威集团
hs300,2026-03-02,,add,sh.603799,华友钴业
hs300,2026-03-02,,add,sh.603893,瑞芯微
hs300,2026-03-02,,add,sh.603986,兆易创新
hs300,2026-03-02,,add,sh.603993,洛阳钼业
hs300,2026-03-02,,add,sh.605117,德业股份
hs300,2026-03-02,,add,sh.605499,东鹏饮料
hs300,2026-03-02,,add,sh.688008,澜起科技
hs300,2026-03-02,,add,sh.688009,中国通号
hs300,2026-03-02,,add,sh.688012,中微公司
hs300,2026-03-02,,add,sh.688036,传音控股
hs300,2026-03-02,,add,sh.688041,海光信息
hs300,2026-03-02,,add,sh.688047,龙芯中科
hs300,2026-03-02,,add,sh.688082,盛美上海
hs300,2026-03-02,,add,sh.688111,金山办公
hs300,2026-03-02,,add,sh.688126,沪硅产业
hs300,2026-03-02,,add,sh.688169,石头科技
hs300,2026-03-02,,add,sh.688187,时代电气
hs300,2026-03-02,,add,sh.688223,晶科能源
hs300,2026-03-02,,add,sh.688256,寒武纪
hs300,2026-03-02,,add,sh.688271,联影医疗
hs300,2026-03-02,,add,sh.688303,大全能源
hs300,2026-03-02,,add,sh.688396,华润微
hs300,2026-03-02,,add,sh.688472,阿特斯
hs300,2026-03-02,,add,sh.688506,百利天恒
hs300,2026-03-02,,add,sh.688981,中芯国际
