code,code_name,ipoDate,outDate,type,status
sh.600004,白云机场,2003-04-28,,1,1
sh.600007,中国国贸,1999-03-12,,1,1
sh.600008,首创环保,2000-04-27,,1,1
sh.600021,上海电力,2003-10-29,,1,1
sh.600032,浙江新能,2021-05-25,,1,1
sh.600038,中直股份,2000-12-18,,1,1
sh.600060,海信视像,1997-04-22,,1,1
sh.600062,华润双鹤,1997-05-22,,1,1
sh.600095,湘财股份,1997-07-08,,1,1
sh.600096,云天化,1997-07-09,,1,1
sh.600098,广州发展,1997-07-18,,1,1
sh.600109,国金证券,1997-08-07,,1,1
sh.600118,中国卫星,1997-09-08,,1,1
sh.600126,杭钢股份,1998-03-11,,1,1
sh.600131,国网信通,1998-04-02,,1,1
sh.600132,重庆啤酒,1997-10-30,,1,1
sh.600141,兴发集团,1999-06-16,,1,1
sh.600143,金发科技,2004-06-23,,1,1
sh.600153,建发股份,1998-06-16,,1,1
sh.600157,永泰能源,1998-05-13,,1,1
sh.600166,福田汽车,1998-06-02,,1,1
sh.600170,上海建工,1998-06-23,,1,1
sh.600171,上海贝岭,1998-09-24,,1,1
sh.600177,雅戈尔,1998-11-19,,1,1
sh.600208,衢州发展,1999-06-23,,1,1
sh.600282,南钢股份,2000-09-19,,1,1
sh.600295,鄂尔多斯,2001-04-26,,1,1
sh.600298,安琪酵母,2000-08-18,,1,1
sh.600299,安迪苏,2000-04-20,,1,1
sh.600312,平高电气,2001-02-21,,1,1
sh.600316,洪都航空,2000-12-15,,1,1
sh.600329,达仁堂,2001-06-06,,1,1
sh.600332,白云山,2001-02-06,,1,1
sh.600339,中油工程,2000-12-25,,1,1
sh.600348,华阳股份,2003-08-21,,1,1
sh.600352,浙江龙盛,2003-08-01,,1,1
sh.600363,联创光电,2001-03-29,,1,1
sh.600369,西南证券,2001-01-09,,1,1
sh.600378,昊华科技,2001-01-11,,1,1
sh.600380,健康元,2001-06-08,,1,1
sh.600390,五矿资本,2001-01-15,,1,1
sh.600392,盛和资源,2003-05-29,,1,1
sh.600398,海澜之家,2000-12-28,,1,1
sh.600435,北方导航,2003-07-04,,1,1
sh.600483,福能股份,2004-05-31,,1,1
sh.600486,扬农化工,2002-04-25,,1,1
sh.600487,亨通光电,2003-08-22,,1,1
sh.600497,驰宏锌锗,2004-04-20,,1,1
sh.600498,烽火通信,2001-08-23,,1,1
sh.600499,科达制造,2002-10-10,,1,1
sh.600511,国药股份,2002-11-27,,1,1
sh.600516,方大炭素,2002-08-30,,1,1
sh.600517,国网英大,2003-10-10,,1,1
sh.600521,华海药业,2003-03-04,,1,1
sh.600528,中铁工业,2001-05-28,,1,1
sh.600535,天士力,2002-08-23,,1,1
sh.600536,中国软件,2002-05-17,,1,1
sh.600546,山煤国际,2003-07-31,,1,1
sh.600549,厦门钨业,2002-11-07,,1,1
sh.600562,国睿科技,2003-01-28,,1,1
sh.600563,法拉电子,2002-12-10,,1,1
sh.600566,济川药业,2001-08-22,,1,1
sh.600578,京能电力,2002-05-10,,1,1
sh.600580,卧龙电驱,2002-06-06,,1,1
sh.600582,天地科技,2002-05-15,,1,1
sh.600583,海油工程,2002-02-05,,1,1
sh.600598,北大荒,2002-03-29,,1,1
sh.600601,方正科技,1990-12-19,,1,1
sh.600602,云赛智联,1990-12-19,,1,1
sh.600606,绿地控股,1992-03-27,,1,1
sh.600637,东方明珠,1993-03-16,,1,1
sh.600642,申能股份,1993-04-16,,1,1
sh.600655,豫园股份,1992-09-02,,1,1
sh.600663,陆家嘴,1993-06-28,,1,1
sh.600673,东阳光,1993-09-17,,1,1
sh.600685,中船防务,1993-10-28,,1,1
sh.600688,上海石化,1993-11-08,,1,1
sh.600699,均胜电子,1993-12-06,,1,1
sh.600704,物产中大,1996-06-06,,1,1
sh.600707,彩虹股份,1996-05-20,,1,1
sh.600720,中交设计,1996-07-16,,1,1
sh.600737,中粮糖业,1996-07-31,,1,1
sh.600739,辽宁成大,1996-08-19,,1,1
sh.600754,锦江酒店,1996-10-11,,1,1
sh.600763,通策医疗,1996-10-30,,1,1
sh.600764,中国海防,1996-11-04,,1,1
sh.600765,中航重机,1996-11-06,,1,1
sh.600801,华新建材,1994-01-03,,1,1
sh.600808,马钢股份,1994-01-06,,1,1
sh.600816,建元信托,1994-01-28,,1,1
sh.600820,隧道股份,1994-01-28,,1,1
sh.600848,上海临港,1994-03-24,,1,1
sh.600862,中航高科,1994-05-20,,1,1
sh.600863,华能蒙电,1994-05-20,,1,1
sh.600871,石化油服,1995-04-11,,1,1
sh.600873,梅花生物,1995-02-17,,1,1
sh.600879,航天电子,1995-11-15,,1,1
sh.600884,杉杉股份,1996-01-30,,1,1
sh.600885,宏发股份,1996-02-05,,1,1
sh.600901,江苏金租,2018-03-01,,1,1
sh.600906,财达证券,2021-05-07,,1,1
sh.600909,华安证券,2016-12-06,,1,1
sh.600927,永安期货,2021-12-23,,1,1
sh.600959,江苏有线,2015-04-28,,1,1
sh.600967,内蒙一机,2004-05-18,,1,1
sh.600968,海油发展,2019-06-26,,1,1
sh.600970,中材国际,2005-04-12,,1,1
sh.600977,中国电影,2016-08-09,,1,1
sh.600985,淮北矿业,2004-04-28,,1,1
sh.600988,赤峰黄金,2004-04-14,,1,1
sh.600995,南网储能,2004-06-15,,1,1
sh.600998,九州通,2010-11-02,,1,1
