updateDate,code,code_name,industry,industryClassification
2026-03-30,sh.600004,白云机场,G56航空运输业,证监会行业分类
2026-03-30,sh.600007,中国国贸,K70房地产业,证监会行业分类
2026-03-30,sh.600008,首创环保,D46水的生产和供应业,证监会行业分类
2026-03-30,sh.600021,上海电力,D44电力、热力生产和供应业,证监会行业分类
2026-03-30,sh.600032,浙江新能,D44电力、热力生产和供应业,证监会行业分类
2026-03-30,sh.600038,中直股份,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
2026-03-30,sh.600060,海信视像,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-03-30,sh.600062,华润双鹤,C27医药制造业,证监会行业分类
2026-03-30,sh.600095,湘财股份,J67资本市场服务,证监会行业分类
2026-03-30,sh.600096,云天化,C26化学原料和化学制品制造业,证监会行业分类
2026-03-30,sh.600098,广州发展,D44电力、热力生产和供应业,证监会行业分类
2026-03-30,sh.600109,国金证券,J67资本市场服务,证监会行业分类
2026-03-30,sh.600118,中国卫星,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-03-30,sh.600126,杭钢股份,C31黑色金属冶炼和压延加工业,证监会行业分类
2026-03-30,sh.600131,国网信通,I65软件和信息技术服务业,证监会行业分类
2026-03-30,sh.600132,重庆啤酒,C15酒、饮料和精制茶制造业,证监会行业分类
2026-03-30,sh.600141,兴发集团,C26化学原料和化学制品制造业,证监会行业分类
2026-03-30,sh.600143,金发科技,C29橡胶和塑料制品业,证监会行业分类
2026-03-30,sh.600153,建发股份,L72商务服务业,证监会行业分类
2026-03-30,sh.600157,永泰能源,D44电力、热力生产和供应业,证监会行业分类
2026-03-30,sh.600166,福田汽车,C36汽车制造业,证监会行业分类
2026-03-30,sh.600170,上海建工,E48土木工程建筑业,证监会行业分类
2026-03-30,sh.600171,上海贝岭,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-03-30,sh.600177,雅戈尔,C18纺织服装、服饰业,证监会行业分类
2026-03-30,sh.600208,衢州发展,K70房地产业,证监会行业分类
2026-03-30,sh.600282,南钢股份,C31黑色金属冶炼和压延加工业,证监会行业分类
2026-03-30,sh.600295,鄂尔多斯,C31黑色金属冶炼和压延加工业,证监会行业分类
2026-03-30,sh.600298,安琪酵母,C14食品制造业,证监会行业分类
2026-03-30,sh.600299,安迪苏,C14食品制造业,证监会行业分类
2026-03-30,sh.600312,平高电气,C38电气机械和器材制造业,证监会行业分类
2026-03-30,sh.600316,洪都航空,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
2026-03-30,sh.600329,达仁堂,C27医药制造业,证监会行业分类
2026-03-30,sh.600332,白云山,C27医药制造业,证监会行业分类
2026-03-30,sh.600339,中油工程,B11开采专业及辅助性活动,证监会行业分类
2026-03-30,sh.600348,华阳股份,B06煤炭开采和洗选业,证监会行业分类
2026-03-30,sh.600352,浙江龙盛,C26化学原料和化学制品制造业,证监会行业分类
2026-03-30,sh.600363,联创光电,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-03-30,sh.600369,西南证券,J67资本市场服务,证监会行业分类
2026-03-30,sh.600378,昊华科技,C26化学原料和化学制品制造业,证监会行业分类
2026-03-30,sh.600380,健康元,C27医药制造业,证监会行业分类
2026-03-30,sh.600390,五矿资本,J69其他金融业,证监会行业分类
2026-03-30,sh.600392,盛和资源,C32有色金属冶炼和压延加工业,证监会行业分类
2026-03-30,sh.600398,海澜之家,C18纺织服装、服饰业,证监会行业分类
2026-03-30,sh.600435,北方导航,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-03-30,sh.600483,福能股份,D44电力、热力生产和供应业,证监会行业分类
2026-03-30,sh.600486,扬农化工,C26化学原料和化学制品制造业,证监会行业分类
2026-03-30,sh.600487,亨通光电,C38电气机械和器材制造业,证监会行业分类
2026-03-30,sh.600497,驰宏锌锗,C32有色金属冶炼和压延加工业,证监会行业分类
2026-03-30,sh.600498,烽火通信,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-03-30,sh.600499,科达制造,C35专用设备制造业,证监会行业分类
2026-03-30,sh.600511,国药股份,F51批发业,证监会行业分类
2026-03-30,sh.600516,方大炭素,C30非金属矿物制品业,证监会行业分类
2026-03-30,sh.600517,国网英大,J69其他金融业,证监会行业分类
2026-03-30,sh.600521,华海药业,C27医药制造业,证监会行业分类
2026-03-30,sh.600528,中铁工业,C35专用设备制造业,证监会行业分类
2026-03-30,sh.600535,天士力,C27医药制造业,证监会行业分类
2026-03-30,sh.600536,中国软件,I65软件和信息技术服务业,证监会行业分类
2026-03-30,sh.600546,山煤国际,B06煤炭开采和洗选业,证监会行业分类
2026-03-30,sh.600549,厦门钨业,C32有色金属冶炼和压延加工业,证监会行业分类
2026-03-30,sh.600562,国睿科技,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-03-30,sh.600563,法拉电子,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-03-30,sh.600566,济川药业,C27医药制造业,证监会行业分类
2026-03-30,sh.600578,京能电力,D44电力、热力生产和供应业,证监会行业分类
2026-03-30,sh.600580,卧龙电驱,C38电气机械和器材制造业,证监会行业分类
2026-03-30,sh.600582,天地科技,C35专用设备制造业,证监会行业分类
2026-03-30,sh.600583,海油工程,B11开采专业及辅助性活动,证监会行业分类
2026-03-30,sh.600598,北大荒,A01农业,证监会行业分类
2026-03-30,sh.600601,方正科技,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-03-30,sh.600602,云赛智联,I65软件和信息技术服务业,证监会行业分类
2026-03-30,sh.600606,绿地控股,E48土木工程建筑业,证监会行业分类
2026-03-30,sh.600637,东方明珠,I63电信、广播电视和卫星传输服务,证监会行业分类
2026-03-30,sh.600642,申能股份,D44电力、热力生产和供应业,证监会行业分类
2026-03-30,sh.600655,豫园股份,F52零售业,证监会行业分类
2026-03-30,sh.600663,陆家嘴,K70房地产业,证监会行业分类
2026-03-30,sh.600673,东阳光,S91综合,证监会行业分类
2026-03-30,sh.600685,中船防务,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
2026-03-30,sh.600688,上海石化,C25石油、煤炭及其他燃料加工业,证监会行业分类
2026-03-30,sh.600699,均胜电子,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-03-30,sh.600704,物产中大,F51批发业,证监会行业分类
2026-03-30,sh.600707,彩虹股份,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-03-30,sh.600720,中交设计,M74专业技术服务业,证监会行业分类
2026-03-30,sh.600737,中粮糖业,C13农副食品加工业,证监会行业分类
2026-03-30,sh.600739,辽宁成大,F51批发业,证监会行业分类
