stock_code,notice_type,pub_date,available_date,title_text,title_length,keyword_score,url,source_api
000001.SZ,其他,2025-09-24,2025-09-24,平安银行:关于2025年第一期绿色金融债券(债券通)发行完毕的公告,33,0.0,https://data.eastmoney.com/notices/detail/000001/AN202509231749179134.html,akshare.stock_notice_report
000001.SZ,分配方案实施,2025-09-30,2025-09-30,平安银行:2025年半年度权益分派实施公告,21,0.0,https://data.eastmoney.com/notices/detail/000001/AN202509291752918529.html,akshare.stock_notice_report
000001.SZ,调研活动,2025-11-07,2025-11-07,平安银行:投资者关系管理信息,14,0.0,https://data.eastmoney.com/notices/detail/000001/AN202511071776863350.html,akshare.stock_notice_report
000001.SZ,调研活动,2025-11-19,2025-11-19,平安银行:投资者关系管理信息,14,0.0,https://data.eastmoney.com/notices/detail/000001/AN202511191784304636.html,akshare.stock_notice_report
000001.SZ,调研活动,2025-12-04,2025-12-04,平安银行:投资者关系管理信息,14,0.0,https://data.eastmoney.com/notices/detail/000001/AN202512041793893253.html,akshare.stock_notice_report
000001.SZ,法律意见书,2025-12-17,2025-12-17,平安银行:北京市海问(深圳)律师事务所关于平安银行2025年第一次临时股东会的法律意见书,44,0.0,https://data.eastmoney.com/notices/detail/000001/AN202512161801797374.html,akshare.stock_notice_report
000001.SZ,股东大会决议公告,2025-12-17,2025-12-17,平安银行:2025年第一次临时股东会决议公告,22,0.0,https://data.eastmoney.com/notices/detail/000001/AN202512161801797373.html,akshare.stock_notice_report
000001.SZ,高管人员任职变动,2025-12-17,2025-12-17,平安银行:董事会决议公告,12,0.0,https://data.eastmoney.com/notices/detail/000001/AN202512161801797375.html,akshare.stock_notice_report
000001.SZ,公司章程,2026-01-09,2026-01-09,平安银行:平安银行股份有限公司章程,17,0.0,https://data.eastmoney.com/notices/detail/000001/AN202601081816852584.html,akshare.stock_notice_report
000001.SZ,公司章程修订,2026-01-09,2026-01-09,平安银行:关于公司章程修订获核准及不再设置监事会的公告,27,0.0,https://data.eastmoney.com/notices/detail/000001/AN202601081816852580.html,akshare.stock_notice_report
000001.SZ,议事规则/实施细则,2026-01-09,2026-01-09,平安银行:平安银行股份有限公司董事会议事规则,22,0.0,https://data.eastmoney.com/notices/detail/000001/AN202601081816852578.html,akshare.stock_notice_report
000001.SZ,议事规则/实施细则,2026-01-09,2026-01-09,平安银行:平安银行股份有限公司股东会议事规则,22,0.0,https://data.eastmoney.com/notices/detail/000001/AN202601081816852588.html,akshare.stock_notice_report
000001.SZ,高管人员任职变动,2026-01-27,2026-01-27,平安银行:关于选举职工董事的公告,16,0.0,https://data.eastmoney.com/notices/detail/000001/AN202601261818432639.html,akshare.stock_notice_report
000001.SZ,调研活动,2026-01-30,2026-01-30,平安银行:投资者关系管理信息,14,0.0,https://data.eastmoney.com/notices/detail/000001/AN202601301818588145.html,akshare.stock_notice_report
000001.SZ,其他,2026-02-06,2026-02-06,平安银行:关于赎回优先股的第一次提示性公告,21,0.0,https://data.eastmoney.com/notices/detail/000001/AN202602051819793016.html,akshare.stock_notice_report
000001.SZ,其他,2026-02-26,2026-02-26,平安银行:关于赎回优先股的第三次提示性公告,21,0.0,https://data.eastmoney.com/notices/detail/000001/AN202602251820034546.html,akshare.stock_notice_report
000001.SZ,其他,2026-03-06,2026-03-09,平安银行:关于赎回优先股的公告,15,0.0,https://data.eastmoney.com/notices/detail/000001/AN202603051820307758.html,akshare.stock_notice_report
000001.SZ,法律意见书,2026-03-06,2026-03-09,平安银行:北京市君合(深圳)律师事务所关于平安银行股份有限公司赎回优先股之法律意见书,42,0.0,https://data.eastmoney.com/notices/detail/000001/AN202603051820307759.html,akshare.stock_notice_report
