stock_code,report_period,dividend_type,pub_date,available_date,record_date,ex_date,pay_date,bonus_ratio,transfer_ratio,cash_ratio,plan_text,source_api
000001.SZ,1991年报,年度分红,1992-03-14,1992-03-14,1992-03-20,1992-03-23,,5.0,0.0,2.0,10派2元送5股,akshare.stock_dividend_cninfo
000001.SZ,1992年报,年度分红,1993-05-09,1993-05-09,1993-05-21,1993-05-24,1993-05-24,3.5,5.0,3.0,10送3.5转增5股派3元,akshare.stock_dividend_cninfo
000001.SZ,1993年报,年度分红,1994-07-02,1994-07-02,1994-07-08,1994-07-11,1994-07-14,3.0,2.0,5.0,10送3转增2股派5元,akshare.stock_dividend_cninfo
000001.SZ,1994年报,年度分红,1995-09-15,1995-09-15,1995-09-22,1995-09-25,,2.0,0.0,3.0,10送2股派3.00元,akshare.stock_dividend_cninfo
000001.SZ,1995年报,年度分红,1996-05-23,1996-05-23,1996-05-24,1996-05-27,,5.0,5.0,0.0,10送5转增5股,akshare.stock_dividend_cninfo
000001.SZ,1996年报,年度分红,1997-08-19,1997-08-19,1997-08-22,1997-08-25,1997-08-29,5.0,0.0,2.0,10送5股派2.00元(含税),akshare.stock_dividend_cninfo
000001.SZ,1999半年报,中期分红,1999-10-11,1999-10-11,1999-10-15,1999-10-18,1999-10-22,0.0,0.0,6.0,10派6元（含税）,akshare.stock_dividend_cninfo
000001.SZ,2001年报,年度分红,2002-07-17,2002-07-17,2002-07-22,2002-07-23,2002-07-23,0.0,0.0,1.5,10派1.5元(含税),akshare.stock_dividend_cninfo
000001.SZ,2002年报,年度分红,2003-09-23,2003-09-23,2003-09-26,2003-09-29,2003-09-29,0.0,0.0,1.5,10股派1.5元（含税）,akshare.stock_dividend_cninfo
000001.SZ,,股改分红,2007-06-14,2007-06-14,2007-06-15,2007-06-20,2007-06-20,1.0,0.0,0.09,10送1股派0.09元（含税）,akshare.stock_dividend_cninfo
000001.SZ,2008半年报,中期分红,2008-10-24,2008-10-24,2008-10-30,2008-10-31,2008-10-31,3.0,0.0,0.335,10送3股派0.335元（含税）,akshare.stock_dividend_cninfo
000001.SZ,2012半年报,中期分红,2012-10-12,2012-10-12,2012-10-18,2012-10-19,2012-10-19,0.0,0.0,1.0,10派1元(含税),akshare.stock_dividend_cninfo
000001.SZ,2012年报,年度分红,2013-06-14,2013-06-14,2013-06-19,2013-06-20,2013-06-20,6.0,0.0,1.7,10送6股派1.7元(含税),akshare.stock_dividend_cninfo
000001.SZ,2013年报,年度分红,2014-06-06,2014-06-06,2014-06-11,2014-06-12,2014-06-12,0.0,2.0,1.6,10转增2股派1.6元(含税),akshare.stock_dividend_cninfo
