source_api,metric_id,metric_name,pub_date,available_date,value,expected_value,previous_value
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,1991-04-21,1991-04-21,8.64,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,1991-04-21,1991-04-21,9.72,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1991-05-01,1991-05-01,8.64,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1991-06-01,1991-06-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1991-07-01,1991-07-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1991-08-01,1991-08-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1991-09-01,1991-09-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1991-10-01,1991-10-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1991-11-01,1991-11-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1991-12-01,1991-12-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1992-01-01,1992-01-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1992-02-01,1992-02-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1992-03-01,1992-03-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1992-04-01,1992-04-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1992-05-01,1992-05-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1992-06-01,1992-06-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1992-07-01,1992-07-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1992-08-01,1992-08-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1992-09-01,1992-09-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1992-10-01,1992-10-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1992-11-01,1992-11-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1992-12-01,1992-12-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1993-01-01,1993-01-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1993-02-01,1993-02-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1993-03-01,1993-03-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1993-04-01,1993-04-01,8.64,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1993-05-01,1993-05-01,8.64,0.0,8.64
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,1993-05-15,1993-05-15,9.36,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,1993-05-15,1993-05-15,12.24,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1993-06-01,1993-06-01,9.02,0.0,8.64
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1993-07-01,1993-07-01,9.36,0.0,9.02
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,1993-07-11,1993-07-11,10.98,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,1993-07-11,1993-07-11,14.04,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1993-08-01,1993-08-01,10.46,0.0,9.36
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1993-09-01,1993-09-01,10.98,0.0,10.46
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1993-10-01,1993-10-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1993-11-01,1993-11-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1993-12-01,1993-12-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1994-01-01,1994-01-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1994-02-01,1994-02-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1994-03-01,1994-03-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1994-04-01,1994-04-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1994-05-01,1994-05-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1994-06-01,1994-06-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1994-07-01,1994-07-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1994-08-01,1994-08-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1994-09-01,1994-09-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1994-10-01,1994-10-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1994-11-01,1994-11-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1994-12-01,1994-12-01,10.98,0.0,10.98
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,1995-01-01,1995-01-01,10.98,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,1995-01-01,1995-01-01,14.76,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1995-01-01,1995-01-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1995-02-01,1995-02-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1995-03-01,1995-03-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1995-04-01,1995-04-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1995-05-01,1995-05-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1995-06-01,1995-06-01,10.98,0.0,10.98
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,1995-07-01,1995-07-01,12.06,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,1995-07-01,1995-07-01,15.3,0.0,0.0
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1995-07-01,1995-07-01,10.98,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1995-08-01,1995-08-01,12.06,0.0,10.98
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1995-09-01,1995-09-01,12.06,0.0,12.06
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1995-10-01,1995-10-01,12.06,0.0,12.06
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1995-11-01,1995-11-01,12.06,0.0,12.06
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1995-12-01,1995-12-01,12.06,0.0,12.06
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1996-01-01,1996-01-01,12.06,0.0,12.06
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1996-02-01,1996-02-01,12.06,0.0,12.06
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1996-03-01,1996-03-01,12.06,0.0,12.06
akshare.macro_bank_china_interest_rate,policy_rate_current,china_policy_rate,1996-04-01,1996-04-01,12.06,0.0,12.06
akshare.macro_china_lpr,loan_rate_1,china_loan_rate_1,1996-05-01,1996-05-01,10.98,0.0,0.0
akshare.macro_china_lpr,loan_rate_2,china_loan_rate_2,1996-05-01,1996-05-01,15.12,0.0,0.0
