source_api,metric_id,metric_name,pub_date,available_date,value,expected_value,previous_value
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1982-02-01,2026-03-02,8.7,0.0,0.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1982-03-01,2026-03-02,23.2,0.0,8.7
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1982-04-01,2026-03-02,12.2,0.0,23.2
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1982-05-01,2026-03-02,-2.5,0.0,12.2
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1982-06-01,2026-03-02,41.5,0.0,-2.5
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1982-07-01,2026-03-02,0.8,0.0,41.5
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1982-08-01,2026-03-02,-12.0,0.0,0.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1982-09-01,2026-03-02,-14.1,0.0,-12.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1982-10-01,2026-03-02,-3.9,0.0,-14.1
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1982-11-01,2026-03-02,-17.5,0.0,-3.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1982-12-01,2026-03-02,-9.9,0.0,-17.5
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1983-01-01,2026-03-02,-5.1,0.0,-9.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1983-02-01,2026-03-02,-11.8,0.0,-5.1
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1983-03-01,2026-03-02,-21.9,0.0,-11.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1983-04-01,2026-03-02,-7.4,0.0,-21.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1983-05-01,2026-03-02,2.0,0.0,-7.4
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1983-06-01,2026-03-02,6.9,0.0,2.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1983-07-01,2026-03-02,-3.1,0.0,6.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1983-08-01,2026-03-02,20.8,0.0,-3.1
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1983-09-01,2026-03-02,19.9,0.0,20.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1983-10-01,2026-03-02,-15.8,0.0,19.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1983-11-01,2026-03-02,11.4,0.0,-15.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1983-12-01,2026-03-02,6.7,0.0,11.4
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1984-01-01,2026-03-02,7.7,0.0,6.7
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1984-02-01,2026-03-02,17.2,0.0,7.7
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1984-03-01,2026-03-02,30.3,0.0,17.2
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1984-04-01,2026-03-02,25.0,0.0,30.3
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1984-05-01,2026-03-02,16.4,0.0,25.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1984-06-01,2026-03-02,11.6,0.0,16.4
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1984-07-01,2026-03-02,15.6,0.0,11.6
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1984-08-01,2026-03-02,-1.4,0.0,15.6
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1984-09-01,2026-03-02,10.3,0.0,-1.4
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1984-10-01,2026-03-02,22.0,0.0,10.3
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1984-11-01,2026-03-02,12.1,0.0,22.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1984-12-01,2026-03-02,4.8,0.0,12.1
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1985-01-01,2026-03-02,-3.2,0.0,4.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1985-02-01,2026-03-02,-10.4,0.0,-3.2
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1985-03-01,2026-03-02,-7.6,0.0,-10.4
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1985-04-01,2026-03-02,12.9,0.0,-7.6
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1985-05-01,2026-03-02,0.9,0.0,12.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1985-06-01,2026-03-02,0.0,0.0,0.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1985-07-01,2026-03-02,-2.1,0.0,0.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1985-08-01,2026-03-02,9.2,0.0,-2.1
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1985-09-01,2026-03-02,0.9,0.0,9.2
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1985-10-01,2026-03-02,16.0,0.0,0.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1985-11-01,2026-03-02,12.9,0.0,16.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1985-12-01,2026-03-02,22.0,0.0,12.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1986-01-01,2026-03-02,53.2,0.0,22.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1986-02-01,2026-03-02,15.0,0.0,53.2
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1986-03-01,2026-03-02,25.0,0.0,15.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1986-04-01,2026-03-02,-12.7,0.0,25.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1986-05-01,2026-03-02,21.5,0.0,-12.7
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1986-06-01,2026-03-02,14.8,0.0,21.5
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1986-07-01,2026-03-02,33.2,0.0,14.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1986-08-01,2026-03-02,18.9,0.0,33.2
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1986-09-01,2026-03-02,18.8,0.0,18.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1986-10-01,2026-03-02,14.5,0.0,18.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1986-11-01,2026-03-02,21.1,0.0,14.5
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1986-12-01,2026-03-02,10.5,0.0,21.1
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1987-01-01,2026-03-02,2.7,0.0,10.5
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1987-02-01,2026-03-02,-4.7,0.0,2.7
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1987-03-01,2026-03-02,33.9,0.0,-4.7
