stock_code,trade_date,industry,value_factor,momentum_factor,quality_factor,volatility_factor,turn_factor,ps_ttm,future_return
000519.SZ,2026-03-02,C35专用设备制造业,0.34584999033349273,0.0,100000000.0,0.0,13.8691,5.599648,-0.08439415370108438
000528.SZ,2026-03-02,C35专用设备制造业,0.7680544642781709,0.0,0.06167002172141506,0.0,2.2797,0.720104,-0.10463121783876506
000967.SZ,2026-03-02,C35专用设备制造业,0.6404545690349183,0.0,0.014295702080084694,0.0,1.4882,1.99227,0.015439429928741255
002008.SZ,2026-03-02,C35专用设备制造业,0.22087932501045313,0.0,0.014723439188088314,0.0,5.8261,4.426887,-0.09179844545698213
002223.SZ,2026-03-02,C35专用设备制造业,0.35531526768386323,0.0,0.045728423374961594,0.0,1.1875,4.707988,-0.041886195995785136
002353.SZ,2026-03-02,C35专用设备制造业,0.1730694877454688,0.0,0.022165476631780277,0.0,4.6812,8.136571,-0.05192415393231453
002430.SZ,2026-03-02,C35专用设备制造业,0.29602728424273406,0.0,0.030744870425897314,0.0,1.9128,2.208434,-0.06708595387840677
002432.SZ,2026-03-02,C35专用设备制造业,0.9772935613945588,0.0,0.08320501732910895,0.0,11.8979,14.466718,0.03030923612533276
002595.SZ,2026-03-02,C35专用设备制造业,0.14738367448723746,0.0,0.03084002808663038,0.0,0.6717,7.341255,-0.02671360530130462
002837.SZ,2026-03-02,C35专用设备制造业,0.030550130870650626,0.0,0.004601144180326754,0.0,5.9813,18.8829,-0.1265195857721747
300003.SZ,2026-03-02,C35专用设备制造业,0.4829200825213837,0.0,0.013015014029078847,0.0,2.4906,5.235694,-0.03263927968486202
300450.SZ,2026-03-02,C35专用设备制造业,0.14289119178684292,0.0,0.009687539083165489,0.0,3.3324,6.765399,-0.06813063063063063
300529.SZ,2026-03-02,C35专用设备制造业,0.21421477859188917,0.0,0.031177835975712092,0.0,1.0916,7.583733,-0.03307493540051687
300604.SZ,2026-03-02,C35专用设备制造业,0.0483367750728411,0.0,0.01086576090190857,0.0,4.6827,18.207365,-0.09486447931526376
300724.SZ,2026-03-02,C35专用设备制造业,0.32151632241914024,0.0,0.08250539172734939,0.0,7.14,2.115224,-0.025810776837341787
300751.SZ,2026-03-02,C35专用设备制造业,0.10216651241226067,0.0,0.010797669988069547,0.0,5.0357,9.305285,-0.06207322388493386
300757.SZ,2026-03-02,C35专用设备制造业,0.023388546675470117,0.0,100000000.0,0.0,8.11,140.668135,-0.13788638557336907
600031.SH,2026-03-02,C35专用设备制造业,0.3475858597901207,0.0,0.03902803489121931,0.0,0.6466,2.452308,-0.07400957771005656
600499.SH,2026-03-02,C35专用设备制造业,0.37087599798095106,0.0,0.04283864084816054,0.0,1.4344,2.037502,-0.02601809954751133
600528.SH,2026-03-02,C35专用设备制造业,1.3162328363238143,0.0,0.07660123976042502,0.0,1.0568,0.66062,0.0
600582.SH,2026-03-02,C35专用设备制造业,1.0037580702148845,0.0,0.10963889224810272,0.0,1.2792,0.87593,-0.0032573289902279035
601106.SH,2026-03-02,C35专用设备制造业,0.14874743503641707,0.0,100000000.0,0.0,2.3577,3.714431,-0.05415860735009681
601399.SH,2026-03-02,C35专用设备制造业,0.39002518392612606,0.0,0.01262016877380787,0.0,1.4537,2.732615,-0.04372623574144474
601608.SH,2026-03-02,C35专用设备制造业,0.2585218496204253,0.0,0.010493448761549536,0.0,1.4882,4.435995,-0.09859154929577463
601717.SH,2026-03-02,C35专用设备制造业,0.5092712837201249,0.0,0.099399794222546,0.0,2.1291,1.137914,-0.11857086768747549
603338.SH,2026-03-02,C35专用设备制造业,0.3760315956787953,0.0,0.05964722602522994,0.0,0.6973,3.543866,-0.11821140997087543
688012.SH,2026-03-02,C35专用设备制造业,0.09822025873376997,0.0,0.009658524694544085,0.0,1.7056,17.651898,-0.07283611158847458
688037.SH,2026-03-02,C35专用设备制造业,0.06214678100182848,0.0,0.0016463301051423123,0.0,2.4091,22.349358,-0.1578849893508658
688114.SH,2026-03-02,C35专用设备制造业,0.2983131584144298,0.0,100000000.0,0.0,0.9101,9.318967,-0.11078951599935682
688120.SH,2026-03-02,C35专用设备制造业,0.10606820440106679,0.0,0.015986870303157423,0.0,1.0489,14.607972,-0.09890625000000008
688301.SH,2026-03-02,C35专用设备制造业,0.21118628404217307,0.0,0.023977048018738158,0.0,2.7854,11.996585,-0.07804952848271107
688361.SH,2026-03-02,C35专用设备制造业,0.03970176825720552,0.0,0.0008991582261417664,0.0,3.4445,31.259425,-0.061647572285870256
688425.SH,2026-03-02,C35专用设备制造业,0.6251992822712239,0.0,0.05120797304043602,0.0,0.7418,2.883029,-0.02025782688766109
688617.SH,2026-03-02,C35专用设备制造业,0.08881402458709695,0.0,0.024385539872320727,0.0,0.955,13.023815,-0.04865476489816445
000519.SZ,2026-03-03,C35专用设备制造业,0.36991824806717716,0.0,100000000.0,0.0,8.0063,5.235314,-0.010590015128592922
000528.SZ,2026-03-03,C35专用设备制造业,0.8017471674272575,0.0,0.0643753298028615,0.0,2.6957,0.689843,-0.044762757385855
000967.SZ,2026-03-03,C35专用设备制造业,0.6641164594623313,0.0,0.014823868355154684,0.0,1.6427,1.921286,0.08374384236453225
