stock_code,trade_date,industry,value_factor,momentum_factor,quality_factor,volatility_factor,turn_factor,ps_ttm,future_return
600000.SH,2026-03-02,J66货币金融服务,2.17433372978685,0.0,0.15513932364529628,0.0,0.2204,1.85326,0.017561983471074294
600011.SH,2026-03-02,D44电力、热力生产和供应业,0.5755081017153019,0.0,0.12536798638202784,0.0,1.9019,0.49616,0.024324324324324298
600016.SH,2026-03-02,J66货币金融服务,3.2492218113761755,0.0,0.17550538090722592,0.0,1.1537,1.2082,-0.017721518987341867
600018.SH,2026-03-02,G55水上运输业,1.1725088876173682,0.0,0.11220318470787284,0.0,0.5013,3.028048,-0.007797270955165692
600019.SH,2026-03-02,C31黑色金属冶炼和压延加工业,1.2827633801841278,0.0,0.059281591293383826,0.0,1.2394,0.51084,-0.035567715458276306
600028.SH,2026-03-02,B07石油和天然气开采业,0.9664870611544688,0.0,0.04192931011819243,0.0,1.1489,0.304729,-0.015471167369901617
600030.SH,2026-03-02,J67资本市场服务,0.6985752557658655,0.0,0.0749042461569253,0.0,1.0756,5.361382,-0.04396010343553758
600031.SH,2026-03-02,C35专用设备制造业,0.3475858597901207,0.0,0.03902803489121931,0.0,0.6466,2.452308,-0.07400957771005656
600036.SH,2026-03-02,J66货币金融服务,1.1174844976963056,0.0,0.15399209096620797,0.0,0.3323,2.88936,0.003103180760279267
600050.SH,2026-03-02,I63电信、广播电视和卫星传输服务,1.1154626548680464,0.0,0.06139843532227424,0.0,0.7479,0.392746,0.008113590263691739
600089.SH,2026-03-02,C38电气机械和器材制造业,0.4324627281997701,0.0,0.03343210626247874,0.0,7.8716,1.61559,0.04033026357573832
600104.SH,2026-03-02,C36汽车制造业,1.80029668889433,0.0,0.01742168564669306,0.0,0.5271,0.246439,-0.02310924369747902
600111.SH,2026-03-02,C32有色金属冶炼和压延加工业,0.10701539416445055,0.0,0.009589351922253677,0.0,5.6775,5.352614,-0.12730806608357625
600118.SH,2026-03-02,C39计算机、通信和其他电子设备制造业,0.053617215758786016,0.0,0.0004851500287021064,0.0,10.2325,17.989213,-0.08285913946291301
600000.SH,2026-03-03,J66货币金融服务,2.1631583842937396,0.0,0.1543421144221439,0.0,0.3391,1.862833,0.023638232271325776
600011.SH,2026-03-03,D44电力、热力生产和供应业,0.5731841526045488,0.0,0.12486179360220655,0.0,1.6616,0.498171,0.01211305518169592
600016.SH,2026-03-03,J66货币金融服务,3.2740833385172987,0.0,0.17684854478406437,0.0,0.9886,1.199024,0.005102040816326481
600018.SH,2026-03-03,G55水上运输业,1.158954020817132,0.0,0.11090604583236706,0.0,0.764,3.063463,-0.015414258188824692
600019.SH,2026-03-03,C31黑色金属冶炼和压延加工业,1.305987692371987,0.0,0.06035493287505431,0.0,0.9327,0.501755,-0.02506963788300831
600028.SH,2026-03-03,B07石油和天然气开采业,0.8787377108531137,0.0,0.038122429190161046,0.0,1.5856,0.335159,-0.16112531969309474
600030.SH,2026-03-03,J67资本市场服务,0.7056132237563038,0.0,0.07565888103995251,0.0,1.3199,5.307907,-0.025000000000000022
600031.SH,2026-03-03,C35专用设备制造业,0.35980386371781015,0.0,0.040399907371092385,0.0,1.0289,2.369034,-0.00585849481748546
600036.SH,2026-03-03,J66货币金融服务,1.102938338026336,0.0,0.151987602675225,0.0,0.6712,2.927466,0.0010209290454312736
600050.SH,2026-03-03,I63电信、广播电视和卫星传输服务,1.124586152295955,0.0,0.061900669975711406,0.0,0.961,0.389559,0.014314928425357865
600089.SH,2026-03-03,C38电气机械和器材制造业,0.45883577762799344,0.0,0.035470924766736106,0.0,7.4789,1.522728,0.07345013477088957
600104.SH,2026-03-03,C36汽车制造业,1.8258703924160649,0.0,0.01766915285193644,0.0,0.5425,0.242987,-0.0021306818181817677
