stock_code,trade_date,industry,value_factor,momentum_factor,quality_factor,volatility_factor,turn_factor,ps_ttm,future_return
600009.SH,2026-03-02,G56航空运输业,0.5640275628989437,0.0,0.03174169774469841,0.0,0.897,5.782703,-0.017379679144385096
600010.SH,2026-03-02,C31黑色金属冶炼和压延加工业,0.3463601702429509,0.0,0.006741545097956943,0.0,10.7086,2.267712,0.006644518272425293
600015.SH,2026-03-02,J66货币金融服务,2.859683890542739,0.0,0.2520777508614757,0.0,0.7092,1.173958,0.019145802650957222
600021.SH,2026-03-02,D44电力、热力生产和供应业,0.34513749587560694,0.0,0.043072591962137474,0.0,2.8657,1.446545,0.03005725190839681
600026.SH,2026-03-02,G55水上运输业,0.30240743535209447,0.0,0.026693691359799328,0.0,6.2891,5.427734,-0.06586345381526093
600027.SH,2026-03-02,D44电力、热力生产和供应业,0.8077792371655996,0.0,0.10925256713488311,0.0,2.6546,0.586973,-0.0019379844961240345
600029.SH,2026-03-02,G56航空运输业,0.2919671373468888,0.0,100000000.0,0.0,1.3549,0.715725,-0.04572271386430682
600039.SH,2026-03-02,E48土木工程建筑业,0.563565067532002,0.0,0.08765847556651482,0.0,0.344,0.812397,-0.005958291956305928
600048.SH,2026-03-02,K70房地产业,2.3729239881258883,0.0,0.01261844365226416,0.0,1.2694,0.26367,-0.04940119760479045
600066.SH,2026-03-02,C36汽车制造业,0.20024088979041785,0.0,0.07428584927371469,0.0,0.9339,1.695674,0.010131712259371817
600085.SH,2026-03-02,C27医药制造业,0.3279341167242137,0.0,0.0324916047379388,0.0,0.5431,2.303796,-0.010862409479920898
600115.SH,2026-03-02,G56航空运输业,0.13364392180761422,0.0,100000000.0,0.0,2.0572,0.901713,-0.10332103321033204
600009.SH,2026-03-03,G56航空运输业,0.5647815763731534,0.0,0.03178413335427272,0.0,0.5987,5.774983,0.0
600010.SH,2026-03-03,C31黑色金属冶炼和压延加工业,0.38203182095849486,0.0,0.007435857051567126,0.0,9.0265,2.055968,-0.04207119741100318
600015.SH,2026-03-03,J66货币金融服务,2.8554703673562627,0.0,0.2517065071921359,0.0,0.651,1.17569,0.03111111111111109
600021.SH,2026-03-03,D44电力、热力生产和供应业,0.35732266701350784,0.0,0.044593284938024925,0.0,2.6119,1.397216,0.025579150579150722
600026.SH,2026-03-03,G55水上运输业,0.2749599727019739,0.0,0.02427089090843736,0.0,3.8332,5.969548,-0.043295502311895606
