stock_code,trade_date,industry,value_factor,momentum_factor,quality_factor,volatility_factor,turn_factor,ps_ttm,future_return
600004.SH,2026-03-02,G56航空运输业,0.799272981296213,0.0,0.05678466595965972,0.0,1.1289,3.048484,-0.001094091903719896
600007.SH,2026-03-02,K70房地产业,0.4666412191655148,0.0,0.058252952026596895,0.0,0.2647,5.373838,-0.00698602794411185
600008.SH,2026-03-02,D46水的生产和供应业,0.8948113469237281,0.0,0.07308289141935964,0.0,1.7542,1.189289,0.0031746031746031633
600023.SH,2026-03-02,D44电力、热力生产和供应业,1.031003300241564,0.0,0.10009147359772096,0.0,1.2596,0.904233,0.011111111111111072
600038.SH,2026-03-02,C37铁路、船舶、航空航天和其他运输设备制造业,0.5404204795583252,0.0,0.017894798306028286,0.0,2.4701,1.160427,0.007823037496627938
600060.SH,2026-03-02,C39计算机、通信和其他电子设备制造业,0.6959877005053567,0.0,0.08733399445167132,0.0,1.3628,0.483638,-0.0017937219730941312
600061.SH,2026-03-02,J67资本市场服务,1.1357376900231122,0.0,0.07336770610364289,0.0,0.7602,3.018493,-0.016304347826086918
600062.SH,2026-03-02,C27医药制造业,0.5964007216448732,0.0,0.08326369712796865,0.0,0.8432,1.733697,0.001653803748621785
600095.SH,2026-03-02,J67资本市场服务,0.4086564886681599,0.0,0.013552337848073333,0.0,1.1266,12.245875,-0.005819592628516057
600096.SH,2026-03-02,C26化学原料和化学制品制造业,0.30200987572293614,0.0,0.0703025208867032,0.0,5.9005,1.530064,0.0004856726566295766
600098.SH,2026-03-02,D44电力、热力生产和供应业,1.0135203616240651,0.0,0.08490140569559382,0.0,2.005,0.539677,0.0
600109.SH,2026-03-02,J67资本市场服务,1.0495734533485592,0.0,0.07444067509950486,0.0,0.974,3.903163,-0.005643340857787726
600004.SH,2026-03-03,G56航空运输业,0.8088919878439712,0.0,0.057468070596306514,0.0,0.9938,3.012232,0.013289036544850585
600007.SH,2026-03-03,K70房地产业,0.46990118447991575,0.0,0.05865990622979349,0.0,0.2993,5.336557,0.010101010101010166
600008.SH,2026-03-03,D46水的生产和供应业,0.9033333905444481,0.0,0.07377891469445791,0.0,1.7794,1.178069,0.03514376996805124
600023.SH,2026-03-03,D44电力、热力生产和供应业,1.0367313932633193,0.0,0.10064754618262979,0.0,1.2453,0.899237,0.022181146025878062
600038.SH,2026-03-03,C37铁路、船舶、航空航天和其他运输设备制造业,0.5676821933423367,0.0,0.018797503405825654,0.0,2.7217,1.1047,-0.018390191897654673
600060.SH,2026-03-03,C39计算机、通信和其他电子设备制造业,0.7022294380198253,0.0,0.08811725587004114,0.0,1.3264,0.479339,0.02096627164995435
600061.SH,2026-03-03,J67资本市场服务,1.1403665822415274,0.0,0.07366676235979097,0.0,0.8846,3.00624,0.01532033426183843
600062.SH,2026-03-03,C27医药制造业,0.6006745575281041,0.0,0.08386040295426782,0.0,0.938,1.721361,0.013950892857142794
600095.SH,2026-03-03,J67资本市场服务,0.4146019489608417,0.0,0.013749510483053028,0.0,1.051,12.070265,0.003929273084479545
600096.SH,2026-03-03,C26化学原料和化学制品制造业,0.32261811049025046,0.0,0.07509975312458154,0.0,7.1836,1.432326,0.02240077915753602
600098.SH,2026-03-03,D44电力、热力生产和供应业,1.022770972941571,0.0,0.08567625769533438,0.0,1.9179,0.534796,0.026212319790301475
600109.SH,2026-03-03,J67资本市场服务,1.0637890463769473,0.0,0.07544889831027665,0.0,0.9812,3.851005,0.01379310344827589
600004.SH,2026-03-04,G56航空运输业,0.8187460086132081,0.0,0.05816812519362715,0.0,0.7304,2.97598,0.012141280353200834
600007.SH,2026-03-04,K70房地产业,0.4755968859818293,0.0,0.059370936430469694,0.0,0.2509,5.272646,0.010670731707317138
600008.SH,2026-03-04,D46水的生产和供应业,0.9091049588948193,0.0,0.07425034990477393,0.0,1.7313,1.170589,0.0414012738853502
600023.SH,2026-03-04,D44电力、热力生产和供应业,1.0348142560151166,0.0,0.10046150003887859,0.0,1.0198,0.900902,0.02914389799635697
600038.SH,2026-03-04,C37铁路、船舶、航空航天和其他运输设备制造业,0.5608735718055585,0.0,0.018572053494497157,0.0,1.7351,1.11811,-0.022402159244264475
600060.SH,2026-03-04,C39计算机、通信和其他电子设备制造业,0.7137519298067803,0.0,0.08956312005667555,0.0,0.8107,0.471601,0.0036150022593763875
600061.SH,2026-03-04,J67资本市场服务,1.1689548958753426,0.0,0.07551355827060359,0.0,0.8261,2.932718,0.01664355062413314
600062.SH,2026-03-04,C27医药制造业,0.60804911091059,0.0,0.08488993892084006,0.0,0.9759,1.700485,0.016164994425863943
600095.SH,2026-03-04,J67资本市场服务,0.41989654588902386,0.0,0.01392509374581986,0.0,0.7648,11.91807,0.008919722497522375
600096.SH,2026-03-04,C26化学原料和化学制品制造业,0.3234822214171109,0.0,0.07530089862586402,0.0,5.0667,1.4285,0.03808353808353804
600098.SH,2026-03-04,D44电力、热力生产和供应业,1.028132797744688,0.0,0.0861254115179819,0.0,1.4325,0.532007,0.045454545454545414
600109.SH,2026-03-04,J67资本市场服务,1.0833531948085715,0.0,0.07683646449609802,0.0,0.8657,3.78146,0.016055045871559592
600004.SH,2026-03-05,G56航空运输业,0.816034756552351,0.0,0.057975514737056984,0.0,0.4756,2.985867,0.006564551422319376
600007.SH,2026-03-05,K70房地产业,0.47849683091548884,0.0,0.05973295308131841,0.0,0.2645,5.24069,0.009049773755656076
600008.SH,2026-03-05,D46水的生产和供应业,0.9062099851653426,0.0,0.07401388159954952,0.0,1.3684,1.174329,0.012539184952978122
600023.SH,2026-03-05,D44电力、热力生产和供应业,1.0197349301022691,0.0,0.09899758020214712,0.0,0.8159,0.914224,0.01642335766423364
600038.SH,2026-03-05,C37铁路、船舶、航空航天和其他运输设备制造业,0.567988508456497,0.0,0.01880765026753036,0.0,1.4729,1.104104,-0.054218460724676176
600060.SH,2026-03-05,C39计算机、通信和其他电子设备制造业,0.7076239403331493,0.0,0.08879416721770847,0.0,0.6078,0.475685,-0.010199556541020005
600061.SH,2026-03-05,J67资本市场服务,1.1640915022484428,0.0,0.07519935725605366,0.0,0.3868,2.944971,0.0027472527472527375
600062.SH,2026-03-05,C27医药制造业,0.607371055124997,0.0,0.08479530328990514,0.0,0.433,1.702383,0.001098901098901095
600095.SH,2026-03-05,J67资本市场服务,0.4236419310615958,0.0,0.01404930166892357,0.0,0.7977,11.812704,-0.02434274586173324
600096.SH,2026-03-05,C26化学原料和化学制品制造业,0.32642295928526427,0.0,0.07598545152150989,0.0,4.0133,1.415631,0.010780407780642154
