market,tdx_prefix,stock_code,trade_date,open,high,low,close,amount,volume,source_file
sh,sh,000905.SH,2005-01-04,996.68,996.68,984.8,986.93,1329187072.0,23237.62,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-05,986.57,1008.86,985.68,1003.63,1919861760.0,34861.01,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-06,1003.49,1003.49,990.79,994.6,1629216000.0,29339.05,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-07,993.43,1009.0,990.45,997.61,1906530688.0,33916.26,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-10,996.93,1006.46,993.12,1006.34,1650218880.0,29494.05,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-11,1006.21,1009.5,999.86,1008.34,1778497920.0,31361.15,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-12,1008.01,1008.74,998.36,1008.62,1825638656.0,31963.93,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-13,1008.1,1014.84,1005.35,1013.07,2716827392.0,47157.33,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-14,1012.7,1019.48,999.27,1000.17,2284638720.0,40169.37,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-17,990.99,991.02,974.33,977.52,2418653696.0,43586.03,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-18,977.6,991.84,974.15,991.42,2523669504.0,45161.32,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-19,991.29,991.29,981.23,986.24,2304569088.0,42552.49,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-20,983.2,983.2,966.89,972.46,2588992512.0,46520.48,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-21,971.5,989.72,951.43,988.52,3412342272.0,61852.55,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-24,1009.95,1009.95,998.37,1008.18,4105828864.0,73233.55,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-25,1006.0,1006.0,989.95,999.55,2651186688.0,46948.03,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-26,997.64,997.64,985.67,987.96,2238628608.0,41139.0,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-27,986.15,986.15,970.35,971.37,2214822656.0,41232.13,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-28,971.37,971.94,949.11,952.41,2106037376.0,40723.73,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-01-31,948.44,948.44,921.58,922.65,2058937472.0,40950.99,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-02-01,919.8,929.69,911.93,913.33,2076599296.0,41997.45,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-02-02,913.03,964.42,913.03,964.24,3522825984.0,65535.66,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2005-02-03,963.75,967.94,944.76,945.31,3476526592.0,63713.0,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
