stock_code,trade_date,industry,value_factor,momentum_factor,quality_factor,volatility_factor,turn_factor,ps_ttm,future_return
600028.SH,2026-03-02,B07石油和天然气开采业,0.9664870611544688,0.0,0.04192931011819243,0.0,1.1489,0.304729,-0.015471167369901617
600030.SH,2026-03-02,J67资本市场服务,0.6985752557658655,0.0,0.0749042461569253,0.0,1.0756,5.361382,-0.04396010343553758
600031.SH,2026-03-02,C35专用设备制造业,0.3475858597901207,0.0,0.03902803489121931,0.0,0.6466,2.452308,-0.07400957771005656
600036.SH,2026-03-02,J66货币金融服务,1.1174844976963056,0.0,0.15399209096620797,0.0,0.3323,2.88936,0.003103180760279267
600050.SH,2026-03-02,I63电信、广播电视和卫星传输服务,1.1154626548680464,0.0,0.06139843532227424,0.0,0.7479,0.392746,0.008113590263691739
600104.SH,2026-03-02,C36汽车制造业,1.80029668889433,0.0,0.01742168564669306,0.0,0.5271,0.246439,-0.02310924369747902
600111.SH,2026-03-02,C32有色金属冶炼和压延加工业,0.10701539416445055,0.0,0.009589351922253677,0.0,5.6775,5.352614,-0.12730806608357625
600150.SH,2026-03-02,C37铁路、船舶、航空航天和其他运输设备制造业,0.49185077050882453,0.0,0.02352077936196499,0.0,1.5756,3.022461,-0.02124311565696313
600276.SH,2026-03-02,C27医药制造业,0.16437962553992544,0.0,0.020630573478366266,0.0,1.1633,11.683452,0.00733406674000725
600309.SH,2026-03-02,C26化学原料和化学制品制造业,0.35612649755643805,0.0,0.03758315366706723,0.0,1.639,1.652386,-0.046225614927905
600406.SH,2026-03-02,I65软件和信息技术服务业,0.21631452824613479,0.0,0.035103419764622446,0.0,1.7905,3.587462,0.11260148252735624
600519.SH,2026-03-02,C15酒、饮料和精制茶制造业,0.14254683875301166,0.0,0.0499207034585912,0.0,0.2831,9.912891,-0.02993521328231863
600690.SH,2026-03-02,C38电气机械和器材制造业,0.5036025206313363,0.0,0.08829783495474648,0.0,0.5797,0.772848,-0.03633491311216441
600760.SH,2026-03-02,C37铁路、船舶、航空航天和其他运输设备制造业,0.13281424214931695,0.0,0.017881003459741716,0.0,2.2526,4.306939,-0.06488352027610023
600809.SH,2026-03-02,C15酒、饮料和精制茶制造业,0.20052794998672505,0.0,0.0635891226990276,0.0,0.4732,5.146355,0.004037345445369489
600887.SH,2026-03-02,C14食品制造业,0.34239832909615403,0.0,0.04870796995361199,0.0,0.9182,1.401996,0.010769230769230864
600900.SH,2026-03-02,D44电力、热力生产和供应业,0.340099730845073,0.0,0.0525548682021132,0.0,0.7429,7.569928,0.02371095220173114
