market_id,universe_id,stock_code,start_date,end_date
cn_a,ALL_A,000001.SZ,1991-04-03,2026-04-01
cn_a,ALL_A,000002.SZ,1991-01-29,2026-04-01
cn_a,ALL_A,000003.SZ,1991-07-03,2002-06-14
cn_a,ALL_A,000004.SZ,1991-01-14,2026-04-01
cn_a,ALL_A,000005.SZ,1990-12-10,2024-04-26
cn_a,ALL_A,000006.SZ,1992-04-27,2026-04-01
cn_a,ALL_A,000007.SZ,1992-04-13,2026-04-01
cn_a,ALL_A,000008.SZ,1992-05-07,2026-04-01
cn_a,ALL_A,000009.SZ,1991-06-25,2026-04-01
cn_a,ALL_A,000010.SZ,1995-10-27,2026-04-01
cn_a,ALL_A,000011.SZ,1992-03-30,2026-04-01
cn_a,ALL_A,000012.SZ,1992-02-28,2026-04-01
cn_a,ALL_A,000013.SZ,1992-05-06,2004-09-20
cn_a,ALL_A,000014.SZ,1992-06-02,2026-04-01
cn_a,ALL_A,000015.SZ,1992-06-25,2001-10-22
cn_a,ALL_A,000016.SZ,1992-03-27,2026-04-01
cn_a,ALL_A,000017.SZ,1992-03-31,2026-04-01
cn_a,ALL_A,000018.SZ,1992-06-16,2020-01-07
cn_a,ALL_A,000019.SZ,1992-10-12,2026-04-01
cn_a,ALL_A,000020.SZ,1992-04-28,2026-04-01
cn_a,ALL_A,000021.SZ,1994-02-02,2026-04-01
cn_a,ALL_A,000022.SZ,1993-05-05,2018-12-26
cn_a,ALL_A,000023.SZ,1993-04-29,2024-09-02
cn_a,ALL_A,000024.SZ,1993-06-07,2015-12-30
cn_a,ALL_A,000025.SZ,1993-06-21,2026-04-01
cn_a,ALL_A,000026.SZ,1993-06-03,2026-04-01
cn_a,ALL_A,000027.SZ,1993-09-03,2026-04-01
cn_a,ALL_A,000028.SZ,1993-08-09,2026-04-01
cn_a,ALL_A,000029.SZ,1993-09-15,2026-04-01
cn_a,ALL_A,000030.SZ,1993-09-29,2026-04-01
cn_a,ALL_A,000031.SZ,1993-10-08,2026-04-01
cn_a,ALL_A,000032.SZ,1993-10-28,2026-04-01
cn_a,ALL_A,000033.SZ,1994-01-03,2017-07-07
cn_a,ALL_A,000034.SZ,1994-05-09,2026-04-01
cn_a,ALL_A,000035.SZ,1994-04-08,2026-04-01
cn_a,ALL_A,000036.SZ,1994-06-17,2026-04-01
cn_a,ALL_A,000037.SZ,1994-07-01,2026-04-01
cn_a,ALL_A,000038.SZ,1994-08-08,2023-07-12
cn_a,ALL_A,000039.SZ,1994-04-08,2026-04-01
cn_a,ALL_A,000040.SZ,1994-08-08,2025-04-30
cn_a,ALL_A,000042.SZ,1994-09-21,2026-04-01
cn_a,ALL_A,000043.SZ,1994-09-28,2019-12-16
cn_a,ALL_A,000045.SZ,1994-08-15,2026-04-01
cn_a,ALL_A,000046.SZ,1994-09-12,2024-02-07
cn_a,ALL_A,000047.SZ,1994-10-21,2003-05-30
cn_a,ALL_A,000048.SZ,1994-11-01,2026-04-01
cn_a,ALL_A,000049.SZ,1995-03-20,2026-04-01
cn_a,ALL_A,000050.SZ,1995-03-15,2026-04-01
cn_a,ALL_A,000055.SZ,1996-04-15,2026-04-01
cn_a,ALL_A,000056.SZ,1996-07-08,2026-04-01
cn_a,ALL_A,000058.SZ,1996-12-26,2026-04-01
cn_a,ALL_A,000059.SZ,1997-01-30,2026-04-01
cn_a,ALL_A,000060.SZ,1997-01-23,2026-04-01
cn_a,ALL_A,000061.SZ,1997-01-10,2026-04-01
cn_a,ALL_A,000062.SZ,1997-01-30,2026-04-01
cn_a,ALL_A,000063.SZ,1997-11-18,2026-04-01
cn_a,ALL_A,000065.SZ,1998-06-05,2026-04-01
cn_a,ALL_A,000066.SZ,1997-06-26,2026-04-01
cn_a,ALL_A,000068.SZ,1997-06-11,2026-04-01
cn_a,ALL_A,000069.SZ,1997-09-10,2026-04-01
cn_a,ALL_A,000070.SZ,2000-05-11,2026-04-01
cn_a,ALL_A,000078.SZ,1998-12-18,2026-04-01
cn_a,ALL_A,000088.SZ,1997-07-28,2026-04-01
cn_a,ALL_A,000089.SZ,1998-04-20,2026-04-01
cn_a,ALL_A,000090.SZ,1999-07-21,2026-04-01
cn_a,ALL_A,000096.SZ,2000-07-24,2026-04-01
cn_a,ALL_A,000099.SZ,2000-07-31,2026-04-01
