market_id,universe_id,stock_code,start_date,end_date
cn_a,INDUSTRY_C27医药制造业,000423.SZ,1996-07-29,2026-04-01
cn_a,INDUSTRY_C27医药制造业,000513.SZ,1993-10-28,2026-04-01
cn_a,INDUSTRY_C27医药制造业,000623.SZ,1996-10-28,2026-04-01
cn_a,INDUSTRY_C27医药制造业,000739.SZ,1997-05-09,2026-04-01
cn_a,INDUSTRY_C27医药制造业,002007.SZ,2004-06-25,2026-04-01
cn_a,INDUSTRY_C27医药制造业,002262.SZ,2008-07-23,2026-04-01
cn_a,INDUSTRY_C27医药制造业,002294.SZ,2009-09-10,2026-04-01
cn_a,INDUSTRY_C27医药制造业,002603.SZ,2011-07-28,2026-04-01
cn_a,INDUSTRY_C27医药制造业,002773.SZ,2015-06-26,2026-04-01
cn_a,INDUSTRY_C27医药制造业,002821.SZ,2016-11-18,2026-04-01
cn_a,INDUSTRY_C27医药制造业,300142.SZ,2010-11-12,2026-04-01
cn_a,INDUSTRY_C27医药制造业,300558.SZ,2016-11-07,2026-04-01
cn_a,INDUSTRY_C27医药制造业,300601.SZ,2017-02-07,2026-04-01
cn_a,INDUSTRY_C27医药制造业,600062.SH,1997-05-22,2026-04-01
cn_a,INDUSTRY_C27医药制造业,600085.SH,1997-06-25,2026-04-01
cn_a,INDUSTRY_C27医药制造业,600161.SH,1998-06-16,2026-04-01
cn_a,INDUSTRY_C27医药制造业,600276.SH,2000-10-18,2026-04-01
cn_a,INDUSTRY_C27医药制造业,600329.SH,2001-06-06,2026-04-01
cn_a,INDUSTRY_C27医药制造业,600332.SH,2001-02-06,2026-04-01
cn_a,INDUSTRY_C27医药制造业,600380.SH,2001-06-08,2026-04-01
cn_a,INDUSTRY_C27医药制造业,600521.SH,2003-03-04,2026-04-01
cn_a,INDUSTRY_C27医药制造业,600535.SH,2002-08-23,2026-04-01
cn_a,INDUSTRY_C27医药制造业,600566.SH,2001-08-22,2026-04-01
cn_a,INDUSTRY_C27医药制造业,603087.SH,2020-06-29,2026-04-01
cn_a,INDUSTRY_C27医药制造业,603658.SH,2016-09-01,2026-04-01
cn_a,INDUSTRY_C27医药制造业,603707.SH,2017-07-19,2026-04-01
cn_a,INDUSTRY_C27医药制造业,603858.SH,2016-11-18,2026-04-01
cn_a,INDUSTRY_C27医药制造业,688166.SH,2019-11-08,2026-04-01
cn_a,INDUSTRY_C27医药制造业,688180.SH,2020-07-15,2026-04-01
cn_a,INDUSTRY_C27医药制造业,688192.SH,2021-12-10,2026-04-01
cn_a,INDUSTRY_C27医药制造业,688235.SH,2021-12-15,2026-04-01
cn_a,INDUSTRY_C27医药制造业,688266.SH,2020-01-23,2026-04-01
cn_a,INDUSTRY_C27医药制造业,688278.SH,2020-01-17,2026-04-01
cn_a,INDUSTRY_C27医药制造业,688336.SH,2020-07-22,2026-04-01
cn_a,INDUSTRY_C27医药制造业,688520.SH,2020-06-22,2026-04-01
cn_a,INDUSTRY_C27医药制造业,688578.SH,2020-12-02,2026-04-01
