market_id,universe_id,stock_code,start_date,end_date
cn_a,INDUSTRY_C35专用设备制造业,000519.SZ,1993-10-08,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,000528.SZ,1993-11-18,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,000967.SZ,2000-03-30,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,002008.SZ,2004-06-25,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,002223.SZ,2008-04-18,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,002353.SZ,2010-02-05,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,002430.SZ,2010-06-10,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,002432.SZ,2010-06-10,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,002595.SZ,2011-06-28,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,002837.SZ,2016-12-29,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,300003.SZ,2009-10-30,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,300450.SZ,2015-05-18,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,300529.SZ,2016-08-02,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,300604.SZ,2017-04-17,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,300724.SZ,2018-08-10,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,300751.SZ,2018-11-09,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,300757.SZ,2019-01-08,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,600031.SH,2003-07-03,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,600499.SH,2002-10-10,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,600528.SH,2001-05-28,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,600582.SH,2002-05-15,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,601106.SH,2010-02-09,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,601399.SH,2020-06-08,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,601608.SH,2012-07-06,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,601717.SH,2010-08-03,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,603338.SH,2015-03-25,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,688012.SH,2019-07-22,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,688037.SH,2019-12-16,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,688114.SH,2022-09-09,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,688120.SH,2022-06-08,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,688301.SH,2020-09-18,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,688361.SH,2023-05-19,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,688425.SH,2021-06-22,2026-04-01
cn_a,INDUSTRY_C35专用设备制造业,688617.SH,2021-01-07,2026-04-01
