market_id,universe_id,stock_code,start_date,end_date
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,000021.SZ,1994-02-02,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,000050.SZ,1995-03-15,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,000733.SZ,1997-07-03,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,001389.SZ,2024-04-02,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,002025.SZ,2004-07-26,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,002130.SZ,2007-04-20,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,002138.SZ,2007-06-13,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,002152.SZ,2007-08-13,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,002156.SZ,2007-08-16,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,002185.SZ,2007-11-20,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,002273.SZ,2008-09-19,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,002281.SZ,2009-08-21,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,002402.SZ,2010-05-11,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,002414.SZ,2010-07-16,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,002429.SZ,2010-06-10,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,002436.SZ,2010-06-18,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,002465.SZ,2010-08-31,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,002583.SZ,2011-05-27,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,002841.SZ,2017-01-19,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,003031.SZ,2021-01-04,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300037.SZ,2010-01-08,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300054.SZ,2010-02-11,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300073.SZ,2010-04-27,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300115.SZ,2010-09-02,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300136.SZ,2010-11-05,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300223.SZ,2011-05-31,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300346.SZ,2012-08-07,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300373.SZ,2014-01-23,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300390.SZ,2014-07-31,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300458.SZ,2015-05-15,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300474.SZ,2016-03-31,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300570.SZ,2016-12-06,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300623.SZ,2017-03-14,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300627.SZ,2017-03-21,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300679.SZ,2017-07-31,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300735.SZ,2017-12-29,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300857.SZ,2020-07-27,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,300919.SZ,2020-12-23,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,600060.SH,1997-04-22,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,600118.SH,1997-09-08,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,600171.SH,1998-09-24,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,600363.SH,2001-03-29,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,600435.SH,2003-07-04,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,600498.SH,2001-08-23,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,600562.SH,2003-01-28,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,600563.SH,2002-12-10,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,600601.SH,1990-12-19,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,600699.SH,1993-12-06,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,600707.SH,1996-05-20,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,600764.SH,1996-11-04,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,600884.SH,1996-01-30,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,601231.SH,2012-02-20,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,603019.SH,2014-11-06,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,603160.SH,2016-10-17,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,603228.SH,2017-01-06,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,603290.SH,2020-02-04,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,603341.SH,2024-03-01,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,603486.SH,2018-05-28,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,603501.SH,2017-05-04,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,603659.SH,2017-11-03,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,603920.SH,2017-04-26,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,605358.SH,2020-09-11,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,688002.SH,2019-07-22,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,688008.SH,2019-07-22,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,688019.SH,2019-07-22,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,688027.SH,2020-07-09,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,688041.SH,2022-08-12,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,688100.SH,2020-01-21,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,688172.SH,2022-12-16,2026-04-01
cn_a,INDUSTRY_C39计算机通信和其他电子设备制造业,688183.SH,2021-02-25,2026-04-01
