market_id,universe_id,stock_code,start_date,end_date
cn_a,SIZE_SMALL,600004.SH,2003-04-28,2026-04-01
cn_a,SIZE_SMALL,600007.SH,1999-03-12,2026-04-01
cn_a,SIZE_SMALL,600008.SH,2000-04-27,2026-04-01
cn_a,SIZE_SMALL,600023.SH,2013-12-19,2026-04-01
cn_a,SIZE_SMALL,600038.SH,2000-12-18,2026-04-01
cn_a,SIZE_SMALL,600060.SH,1997-04-22,2026-04-01
cn_a,SIZE_SMALL,600061.SH,1997-05-19,2026-04-01
cn_a,SIZE_SMALL,600062.SH,1997-05-22,2026-04-01
cn_a,SIZE_SMALL,600095.SH,1997-07-08,2026-04-01
cn_a,SIZE_SMALL,600096.SH,1997-07-09,2026-04-01
cn_a,SIZE_SMALL,600098.SH,1997-07-18,2026-04-01
cn_a,SIZE_SMALL,600109.SH,1997-08-07,2026-04-01
