stock_code,trade_date,industry,value_factor,momentum_factor,quality_factor,volatility_factor,turn_factor,ps_ttm,future_return
000009.SZ,2026-03-02,J69其他金融业,0.41790994876424026,0.0,0.0029225116693041508,0.0,1.2643,1.076294,-0.02887700534759352
000021.SZ,2026-03-02,C39计算机、通信和其他电子设备制造业,0.24223198363286932,0.0,0.0194910398325517,0.0,7.2026,3.44664,-0.0690582959641256
000027.SZ,2026-03-02,D44电力、热力生产和供应业,0.9789103553053026,0.0,0.05514024231379485,0.0,0.9349,0.773481,0.005689900426742556
000032.SZ,2026-03-02,E49建筑安装业,0.2555536928530832,0.0,0.006576632307314242,0.0,2.3975,0.460721,-0.028919330289193357
000034.SZ,2026-03-02,F51批发业,0.3847994963744192,0.0,0.018337844901625256,0.0,5.576,0.207672,0.003008272750062657
000039.SZ,2026-03-02,C33金属制品业,0.6582615444264007,0.0,0.03670828578692617,0.0,5.1136,0.44538,-0.04967129291453609
000050.SZ,2026-03-02,C39计算机、通信和其他电子设备制造业,1.1257787574554698,0.0,0.004795750772985104,0.0,1.4679,0.675927,-0.07142857142857129
000060.SZ,2026-03-02,C32有色金属冶炼和压延加工业,0.4291408985437962,0.0,0.03021708376012446,0.0,8.8161,0.572028,-0.11589008363201903
000062.SZ,2026-03-02,F51批发业,0.27054630061752194,0.0,0.012110521393308704,0.0,1.3342,1.089324,-0.03127572016460911
000088.SZ,2026-03-02,G55水上运输业,0.7453486517388239,0.0,0.05928694406632549,0.0,1.6338,28.349802,-0.02136752136752129
000155.SZ,2026-03-02,D44电力、热力生产和供应业,0.386744113464535,0.0,0.01666486158440938,0.0,3.3303,9.285238,0.01107266435986154
000400.SZ,2026-03-02,C38电气机械和器材制造业,0.36021017543316175,0.0,0.03417359131843151,0.0,6.0934,1.939135,0.05235439900867411
000415.SZ,2026-03-02,L71租赁业,0.8657221637859761,0.0,100000000.0,0.0,1.9431,0.621584,-0.11131725417439697
000423.SZ,2026-03-02,C27医药制造业,0.28564385410111737,0.0,0.0481932263071015,0.0,1.1187,5.688702,-0.04012573964497046
000426.SZ,2026-03-02,B09有色金属矿采选业,0.08564923145231633,0.0,0.014907975526888481,0.0,7.4227,21.076475,-0.17502490866821652
000429.SZ,2026-03-02,G54道路运输业,0.42242591599891693,0.0,0.07013094850705237,0.0,0.5108,5.745438,0.0032573289902280145
000513.SZ,2026-03-02,C27医药制造业,0.45318630761017636,0.0,0.06953702526725165,0.0,1.442,2.600767,-0.0002881844380404619
000519.SZ,2026-03-02,C35专用设备制造业,0.34584999033349273,0.0,100000000.0,0.0,13.8691,5.599648,-0.08439415370108438
000528.SZ,2026-03-02,C35专用设备制造业,0.7680544642781709,0.0,0.06167002172141506,0.0,2.2797,0.720104,-0.10463121783876506
000537.SZ,2026-03-02,D44电力、热力生产和供应业,1.0651759883767997,0.0,0.047832203863531465,0.0,2.093,4.063239,0.03410341034103426
000539.SZ,2026-03-02,D44电力、热力生产和供应业,0.8786496911546335,0.0,0.003040817550800993,0.0,1.9001,0.509397,0.019685039370078705
000559.SZ,2026-03-02,C36汽车制造业,0.15177809556738142,0.0,0.016272090176018453,0.0,4.8989,4.458941,-0.054603854389721596
000563.SZ,2026-03-02,J69其他金融业,1.0318298883972792,0.0,0.07803018113770188,0.0,1.3986,6.218246,-0.01949860724233976
