stock_code,trade_date,industry,value_factor,momentum_factor,quality_factor,volatility_factor,future_return
000001.SZ,2026-01-02,Bank,0.84,0.33,0.58,-0.21,0.012
000002.SZ,2026-01-02,RealEstate,0.67,0.18,0.52,-0.08,0.008
600000.SH,2026-01-02,Bank,0.79,0.29,0.56,-0.17,0.010
600519.SH,2026-01-02,Consumer,0.42,0.61,0.91,-0.34,0.023
000001.SZ,2026-01-05,Bank,0.86,0.37,0.59,-0.19,0.011
000002.SZ,2026-01-05,RealEstate,0.64,0.22,0.50,-0.06,0.007
600000.SH,2026-01-05,Bank,0.80,0.31,0.57,-0.14,0.011
600519.SH,2026-01-05,Consumer,0.44,0.63,0.92,-0.31,0.024
000001.SZ,2026-01-06,Bank,0.88,0.35,0.61,-0.18,0.013
000002.SZ,2026-01-06,RealEstate,0.62,,0.49,-0.04,0.006
600000.SH,2026-01-06,Bank,0.81,0.34,0.58,-0.13,0.012
600519.SH,2026-01-06,Consumer,0.46,0.66,0.94,-0.28,0.025
000001.SZ,2026-01-07,Bank,0.85,0.36,0.60,-0.17,0.010
000002.SZ,2026-01-07,RealEstate,0.63,0.26,0.48,-0.05,0.009
600000.SH,2026-01-07,Bank,0.82,0.33,0.59,-0.12,0.011
600519.SH,2026-01-07,Consumer,0.47,0.67,0.95,-0.27,0.026
000001.SZ,2026-01-08,Bank,0.87,0.38,0.62,-0.16,0.014
000002.SZ,2026-01-08,RealEstate,0.65,0.28,0.51,-0.02,0.010
600000.SH,2026-01-08,Bank,0.83,0.35,0.60,-0.11,0.013
600519.SH,2026-01-08,Consumer,0.48,0.69,0.96,-0.26,0.028
000001.SZ,2026-01-09,Bank,0.89,0.39,0.63,-0.15,0.013
000002.SZ,2026-01-09,RealEstate,0.66,0.29,0.53,,0.011
600000.SH,2026-01-09,Bank,0.84,0.36,0.61,-0.10,0.014
600519.SH,2026-01-09,Consumer,0.49,0.70,0.97,-0.24,0.029
