model,exposure_type,name,weight
cp,industry,J66货币金融服务,0.196875
cp,industry,C39计算机、通信和其他电子设备制造业,0.1
cp,industry,C37铁路、船舶、航空航天和其他运输设备制造业,0.1
cp,industry,C31黑色金属冶炼和压延加工业,0.09583333333333334
cp,industry,C36汽车制造业,0.051041666666666666
cp,industry,K70房地产业,0.05
cp,industry,L72商务服务业,0.05
cp,industry,G55水上运输业,0.05
cp,industry,D44电力、热力生产和供应业,0.05
cp,industry,C26化学原料和化学制品制造业,0.05
cp,industry,I63电信、广播电视和卫星传输服务,0.05
cp,industry,E48土木工程建筑业,0.04895833333333333
cp,industry,F51批发业,0.04479166666666667
cp,industry,B06煤炭开采和洗选业,0.04375
cp,industry,N77生态保护和环境治理业,0.009375
cp,industry,C35专用设备制造业,0.004166666666666667
cp,industry,C27医药制造业,0.003125
cp,industry,B11开采专业及辅助性活动,0.0010416666666666667
cp,industry,G56航空运输业,0.0010416666666666667
cp,style,momentum_factor,0.6614583333333334
cp,style,value_factor,0.17083333333333334
cp,style,quality_factor,0.16770833333333332
