trade_date,model,long_quantile,short_quantile,long_return,short_return,long_short_return,cumulative_nav,drawdown
2020-10-27,pca,1,5,0.0027801664701233362,0.004670943654444485,-0.0018907771843211488,0.9981092228156788,-0.0018907771843211796
2020-10-28,pca,1,5,0.022584241110548568,0.023691063609907855,-0.001106822499359287,0.9970044930710483,-0.0029955069289516745
2020-10-29,pca,1,5,0.037743143162707805,0.024193149315274304,0.013549993847433502,1.0105138978180246,0.0
2020-10-30,pca,1,5,0.05004350202188439,0.056958572988444284,-0.006915070966559897,1.0035261225019179,-0.006915070966559966
2020-11-02,pca,1,5,0.034736856216228164,0.01940555702188212,0.015331299194346042,1.0189114817353366,0.0
2020-11-03,pca,1,5,0.017702097488967623,0.00222831972783131,0.015473777761136313,1.0346778915619792,0.0
2020-11-04,pca,1,5,0.0011416426259927735,-0.01656098692427228,0.017702629550265053,1.0529944109801503,0.0
2020-11-05,pca,1,5,0.004722387753686442,-0.0034186360255688193,0.008141023779255262,1.0615668635193625,0.0
2020-11-06,pca,1,5,-0.002404738735359686,-0.0212941532172489,0.018889414481889213,1.0816192400046187,0.0
2020-11-09,pca,1,5,0.004799311795069966,-0.026168673224718764,0.03096798501978873,1.115114808426197,0.0
2020-11-10,pca,1,5,0.023814913986716056,-0.00651735787124315,0.030332271857959205,1.1489387739482166,0.0
2020-11-11,pca,1,5,0.02421313181792285,0.0012479054561670892,0.02296522636175576,1.1753244129677354,0.0
2020-11-12,pca,1,5,0.043120272057666206,0.00048423443062346207,0.042636037627042746,1.2254355888630097,0.0
2020-11-13,pca,1,5,0.03870505086381282,0.003959220538784529,0.03474583032502829,1.268014365907895,0.0
2020-11-16,pca,1,5,0.03466659678659558,0.015004365797401595,0.019662230989193986,1.2929463572679925,0.0
2020-11-17,pca,1,5,0.012679098653637881,0.0051630654477255455,0.007516033205912336,1.302664185022682,0.0
2020-11-18,pca,1,5,0.01676189297538129,-0.017179163060373176,0.033941056035754466,1.3468779831223074,0.0
2020-11-19,pca,1,5,0.006093040679044393,-0.020860289256490156,0.02695332993553455,1.3831808297843102,0.0
2020-11-20,pca,1,5,-0.007443793665516363,-0.01345722005506278,0.0060134263895464165,1.3914984858876498,0.0
2020-11-23,pca,1,5,0.0070630884189407835,0.0006667291857060519,0.006396359233234732,1.4003990100758894,0.0
2020-11-24,pca,1,5,0.03373283596194349,0.020388366190125465,0.013344469771818027,1.4190865923343312,0.0
2020-11-25,pca,1,5,0.02177608021055129,0.02435336526111541,-0.0025772850505641175,1.415429201674452,-0.002577285050563982
2020-11-26,pca,1,5,0.009200159422292966,0.03305967713649629,-0.023859517714203325,1.3816577435638997,-0.02637530998644899
2020-11-27,pca,1,5,-0.004005250169981006,0.027275859982188785,-0.03128111015216979,1.3384379554948789,-0.05683137116163506
2020-11-30,pca,1,5,-0.026345804603728748,0.02435993777118212,-0.050705742374910864,1.2705714653387532,-0.10465543667161115
2020-12-01,pca,1,5,-0.038427628904497406,-0.004361428421832643,-0.03406620048266476,1.22728792307297,-0.13515642406702
2020-12-02,pca,1,5,-0.024449359618389958,-0.011559174446899275,-0.012890185171490683,1.2114679544858253,-0.14630441790517024
2020-12-03,pca,1,5,-0.03743874238773666,-0.03780071248826612,0.0003619701005294629,1.2119064696630988,-0.14599540562949775
2020-12-04,pca,1,5,-0.029384617949487043,-0.024900152852594896,-0.004484465096892147,1.2064717173991968,-0.14982515942553787
2020-12-07,pca,1,5,-0.02745371583748093,-0.026781813796939547,-0.0006719020405413813,1.205661086590421,-0.15039639363573665
2020-12-08,pca,1,5,-0.016874764013653232,-0.01389426714911383,-0.002980496864539401,1.202067617502141,-0.1529286345206068
2020-12-09,pca,1,5,0.002641864905478267,-0.0052842473125220505,0.007926112218000318,1.2115953403320872,-0.14621465182116244
2020-12-10,pca,1,5,0.018631012215097217,0.005934766524038591,0.012696245691058625,1.2269780524510852,-0.1353747832732578
2020-12-11,pca,1,5,0.02696027285011722,0.014180231166802407,0.012780041683314813,1.2426588831059224,-0.12432483696304497
2020-12-14,pca,1,5,0.004340409843945085,-0.013392384360860888,0.017732794204805974,1.2646946973468138,-0.10879666950665068
2020-12-15,pca,1,5,0.02711501448952576,0.005310164672238292,0.021804849817287468,1.2922711752871807,-0.08936411472857697
2020-12-16,pca,1,5,0.002913802744964838,-0.03228754992448818,0.03520135266945302,1.3377608686730333,-0.057308499777678046
2020-12-17,pca,1,5,0.00013075322019711925,-0.02189504525674125,0.02202579847693837,1.3672261199767595,-0.03654496676785857
2020-12-18,pca,1,5,-0.014838024994476865,-0.045521505816153406,0.03068348082167654,1.4091773764079616,-0.006982812733132393
2020-12-21,pca,1,5,-0.0029609560198570676,-0.018774868930642164,0.015813912910785096,1.4314619847143257,0.0
2020-12-22,pca,1,5,-0.0017308582330221513,-0.009843401153185565,0.008112542920163413,1.443074781503903,0.0
2020-12-23,pca,1,5,0.023330984629889785,0.03336760000964834,-0.010036615379758557,1.4285911949577192,-0.010036615379758418
2020-12-24,pca,1,5,0.019070577560248405,0.044111948242505424,-0.02504137068225702,1.3928173132913746,-0.03482665545589558
2020-12-25,pca,1,5,0.017228703673193808,0.05970983126263541,-0.0424811275894416,1.3336488632966605,-0.07582830745140179
2020-12-28,pca,1,5,0.04444589664825619,0.040012434957895325,0.004433461690360865,1.3395615444404798,-0.07173102765717143
2020-12-29,pca,1,5,0.030817799126958093,0.025013880737355172,0.005803918389602921,1.3473362503222626,-0.0663434302980932
2020-12-30,pca,1,5,0.014963855219602544,0.0060977261456325186,0.008866129073970025,1.3592819074236584,-0.058065510640356144
2020-12-31,pca,1,5,-0.006502050620620981,0.006193165946975021,-0.012695216567596002,1.3420255292325,-0.07002357297526474
