model,exposure_type,name,weight
tucker,industry,C39计算机、通信和其他电子设备制造业,0.171875
tucker,industry,C31黑色金属冶炼和压延加工业,0.1
tucker,industry,C38电气机械和器材制造业,0.1
tucker,industry,I65软件和信息技术服务业,0.1
tucker,industry,C27医药制造业,0.1
tucker,industry,R87广播、电视、电影和录音制作业,0.08854166666666667
tucker,industry,F52零售业,0.05
tucker,industry,E48土木工程建筑业,0.05
tucker,industry,C30非金属矿物制品业,0.05
tucker,industry,M75科技推广和应用服务业,0.05
tucker,industry,C35专用设备制造业,0.05
tucker,industry,G56航空运输业,0.04791666666666667
tucker,industry,C28化学纤维制造业,0.030208333333333334
tucker,industry,C34通用设备制造业,0.011458333333333333
tucker,style,quality_factor,1.0
