trade_date,model,top_n,gross_return,transaction_cost,net_return,cumulative_nav,drawdown
2021-10-27,cp,20,0.05405085916287992,0.0001,0.053950859162879915,1.05395085916288,0.0
2021-10-28,cp,20,0.03128428947855108,0.0,0.03128428947855108,1.086922962937099,0.0
2021-10-29,cp,20,0.02781323411049867,5.000000000000005e-06,0.027808234110498667,1.1171483711505306,0.0
2021-11-01,cp,20,0.05233874825889982,0.0,0.05233874825889982,1.175618518516018,0.0
2021-11-02,cp,20,0.050028553356233775,5.000000000000005e-06,0.05002355335623378,1.2344271342035806,0.0
2021-11-03,cp,20,0.06117711324713482,5.000000000000005e-06,0.06117211324713482,1.3099396506524181,0.0
2021-11-04,cp,20,0.058284317203452306,0.0,0.058284317203452306,1.3862885887684233,0.0
2021-11-05,cp,20,0.020459232623543044,5.000000000000005e-06,0.020454232623543043,1.4146440580464559,0.0
2021-11-08,cp,20,-0.0195389842080462,5.000000000000005e-06,-0.019543984208046202,1.3869962769159896,-0.01954398420804615
2021-11-09,cp,20,0.0042190457656228085,5.000000000000005e-06,0.004214045765622809,1.392841142703662,-0.015412297686318688
2021-11-10,cp,20,-0.026166443525473683,5.000000000000005e-06,-0.026171443525473684,1.3563884793974368,-0.041180379133297196
2021-11-11,cp,20,-0.006485367939527203,0.0,-0.006485367939527203,1.3475918010396086,-0.047398677162255654
2021-11-12,cp,20,0.07301059685892522,5.000000000000005e-06,0.07300559685892521,1.4459735447966993,0.0
2021-11-15,cp,20,0.09530573894863513,0.0,0.09530573894863513,1.5837831219837262,0.0
2021-11-16,cp,20,0.07345019083959009,5.000000000000005e-06,0.07344519083959009,1.7001043756263428,0.0
2021-11-17,cp,20,0.054536237308423365,9.999999999999997e-06,0.05452623730842336,1.7928046702608338,0.0
2021-11-18,cp,20,0.028776384133867832,0.0,0.028776384133867832,1.8443951061292516,0.0
2021-11-19,cp,20,-0.006172379516159632,9.999999999999997e-06,-0.0061823795161596315,1.832992355605413,-0.006182379516159631
2021-11-22,cp,20,-0.005892728698917898,9.999999999999997e-06,-0.005902728698917898,1.8221726990230838,-0.012048615306079924
2021-11-23,cp,20,-0.006749923670338509,0.0,-0.006749923670338509,1.8098731723905033,-0.01871721174276908
2021-11-24,cp,20,0.002729508113452056,0.0,0.002729508113452056,1.8148132358988622,-0.01603879241063022
2021-11-25,cp,20,0.02203331747500443,0.0,0.02203331747500443,1.854799592083262,0.0
2021-11-26,cp,20,-0.02096724979198793,0.0,-0.02096724979198793,1.815909545721975,-0.02096724979198794
2021-11-29,cp,20,-0.06281487886927992,9.999999999999997e-06,-0.06282487886927991,1.7018252484744227,-0.08247486373286428
2021-11-30,cp,20,-0.020566387155735406,5.000000000000005e-06,-0.020571387155735407,1.6668163424166498,-0.10134962853613438
2021-12-01,cp,20,-0.02086266372097394,5.000000000000005e-06,-0.020867663720973942,1.6320337794984754,-0.1201023622905707
2021-12-02,cp,20,-0.02885708220472094,9.999999999999997e-06,-0.02886708220472094,1.5849217262248116,-0.1455024397300685
2021-12-03,cp,20,-0.01756632370044805,0.0,-0.01756632370044805,1.5570804781420737,-0.16051282047501314
2021-12-06,cp,20,0.009835032138654626,5.000000000000005e-06,0.009830032138654627,1.572386629284682,-0.15226063452029404
2021-12-07,cp,20,-0.026143778390477667,5.000000000000005e-06,-0.02614877839047767,1.5312706397713667,-0.1744279833211071
2021-12-08,cp,20,-0.026493453291989415,0.0,-0.026493453291989415,1.4907019925991893,-0.19630023698416277
2021-12-09,cp,20,-0.05251993910350987,5.000000000000005e-06,-0.05252493910350987,1.4124029612164362,-0.23851451809407487
2021-12-10,cp,20,-0.06533211271841668,0.0,-0.06533211271841668,1.3201276917504186,-0.28826397343139054
2021-12-13,cp,20,-0.04243634365527933,5.000000000000005e-06,-0.04244134365527933,1.2640996987159885,-0.31847100672683193
2021-12-14,cp,20,-0.0337888566931974,5.000000000000005e-06,-0.0337938566931974,1.2213808946516662,-0.3415024998577645
2021-12-15,cp,20,-0.02924193883564547,5.000000000000005e-06,-0.029246938835645473,1.185659242330763,-0.3607615359678499
2021-12-16,cp,20,-0.03560182846248239,5.000000000000005e-06,-0.035606828462482386,1.1434416770741347,-0.3835227903032634
2021-12-17,cp,20,-0.001167324194534075,5.000000000000005e-06,-0.001172324194534075,1.142101192731062,-0.38424550145156977
2021-12-20,cp,20,-0.0015498107436256237,5.000000000000005e-06,-0.0015548107436256238,1.1403254415262962,-0.38520288316134865
2021-12-21,cp,20,-0.019714648304571196,5.000000000000005e-06,-0.019719648304571197,1.1178386248666428,-0.3973264660840712
2021-12-22,cp,20,-0.011917713374771627,0.0,-0.011917713374771627,1.1045165445362333,-0.404508956519842
2021-12-23,cp,20,0.008484200977367134,0.0,0.008484200977367134,1.1138874848829057,-0.3994566908267342
2021-12-24,cp,20,-0.00837479328628496,9.999999999999997e-06,-0.008384793286284959,1.1045477685779828,-0.40449212233361354
2021-12-27,cp,20,-0.06016077927224521,5.000000000000005e-06,-0.06016577927224521,1.038091791338069,-0.44032131785617246
2021-12-28,cp,20,-0.05006413506474784,5.000000000000005e-06,-0.05006913506474784,0.9861154332279571,-0.4683439453852919
2021-12-29,cp,20,-0.07176750613635502,5.000000000000005e-06,-0.07177250613635502,0.9153394572454492,-0.5065022328275564
2021-12-30,cp,20,-0.07888184322285156,1.5000000000000002e-05,-0.07889684322285156,0.8431220635914649,-0.5454376487949879
2021-12-31,cp,20,-0.08717485371457219,5.000000000000005e-06,-0.0871798537145722,0.7696188054240328,-0.5850663280771928
