trade_date,model,quantile,daily_return,cumulative_nav
2017-10-24,tucker,1,0.0020083328533302414,1.0020083328533302
2017-10-24,tucker,2,-0.010953734584302988,0.9890462654156971
2017-10-24,tucker,3,0.0055301625154565714,1.0055301625154565
2017-10-24,tucker,4,0.04157499173866497,1.041574991738665
2017-10-24,tucker,5,0.01095907547195383,1.0109590754719537
2017-10-25,tucker,1,-0.005311513063451123,0.9966861525036929
2017-10-25,tucker,2,-0.030544553556017928,0.9588362887923277
2017-10-25,tucker,3,0.025999591801800004,1.031673536285256
2017-10-25,tucker,4,0.06184745762711863,1.1059937569056886
2017-10-25,tucker,5,-0.005642474664009615,1.0052547645022527
2017-10-26,tucker,1,-0.0051528169501163235,0.9915504112031257
2017-10-26,tucker,2,0.009935164819367182,0.9683624853562698
2017-10-26,tucker,3,-0.0041669273734791235,1.027374627586415
2017-10-26,tucker,4,0.04140634961111833,1.1517889210718397
2017-10-26,tucker,5,-0.023786016453394027,0.9813437581339494
2017-10-27,tucker,1,-0.014226609471934826,0.9774440107312025
2017-10-27,tucker,2,0.0005331244630856213,0.9688787430863475
2017-10-27,tucker,3,0.0001066377536521057,1.02748418450886
2017-10-27,tucker,4,-0.014044558014140118,1.1356125547498024
2017-10-27,tucker,5,-0.02873898194261648,0.9531409375894384
2017-10-30,tucker,1,-0.015722702573903014,0.9620759492678328
2017-10-30,tucker,2,0.016885219114147754,0.9852384729584005
2017-10-30,tucker,3,-0.011703427759217011,1.0154590975817226
2017-10-30,tucker,4,-0.001290053767872168,1.1341475534947045
2017-10-30,tucker,5,-0.018759876945851166,0.9352601308882074
2017-10-31,tucker,1,0.0014463792211171222,0.9634674759299904
2017-10-31,tucker,2,0.03456246361681353,1.01929074183391
2017-10-31,tucker,3,0.02473652266838594,1.0405780245678717
2017-10-31,tucker,4,0.030062994096910933,1.1682434247004418
2017-10-31,tucker,5,-0.02404805717281024,0.9127689417891578
2017-11-01,tucker,1,0.011303634195816148,0.9743581598374693
2017-11-01,tucker,2,0.02709847749390304,1.04691196906124
2017-11-01,tucker,3,0.01941491358929448,1.0607807569977756
2017-11-01,tucker,4,0.016566310401926798,1.1875969078990396
2017-11-01,tucker,5,0.004324940269692286,0.9167166129424261
