model,exposure_type,name,weight
pca,industry,J66货币金融服务,0.44081632653061226
pca,industry,C31黑色金属冶炼和压延加工业,0.2
pca,industry,B07石油和天然气开采业,0.11428571428571428
pca,industry,C38电气机械和器材制造业,0.08979591836734693
pca,industry,C36汽车制造业,0.07346938775510205
pca,industry,C35专用设备制造业,0.04897959183673469
pca,industry,J67资本市场服务,0.02857142857142857
pca,industry,D44电力、热力生产和供应业,0.004081632653061225
pca,style,value_factor,0.5142857142857142
pca,style,volatility_factor,0.2612244897959184
pca,style,momentum_factor,0.1469387755102041
pca,style,quality_factor,0.07755102040816327
