trade_date,model,top_n,daily_return,cumulative_nav,turnover,drawdown
2023-10-25,pca,5,-0.011257781020159952,0.98874221897984,1.0,-0.011257781020159952
2023-10-26,pca,5,-0.010199494234939798,0.9786575484175135,0.0,-0.021342451582486488
2023-10-27,pca,5,-0.003888206455181997,0.974852325820344,0.0,-0.02514767417965602
2023-10-30,pca,5,0.012260155917732196,0.9868041673316653,0.0,-0.013195832668334684
2023-10-31,pca,5,0.006145795415922794,0.9928688638596658,0.19999999999999996,-0.007131136140334227
2023-11-01,pca,5,0.0035982642998822366,0.9964414684469566,0.0,-0.0035585315530434203
2023-11-02,pca,5,0.00454711617161443,1.000972403562199,0.19999999999999996,0.0
2023-11-03,pca,5,-0.00201595041213789,0.9989544928326991,0.0,-0.002015950412137868
2023-11-06,pca,5,-0.004300903960487368,0.9946580854981284,0.19999999999999996,-0.006308183963513403
2023-11-07,pca,5,-0.004573352509436246,0.9901091634467845,0.0,-0.010852686923990218
2023-11-08,pca,5,0.014366674927300638,1.0043337399405659,0.19999999999999996,0.0
2023-11-09,pca,5,0.013175793637905353,1.0175666340416085,0.0,0.0
2023-11-10,pca,5,0.004791951169940867,1.022442763664097,0.0,0.0
2023-11-13,pca,5,-8.057715799423271e-05,1.022360378131989,0.0,-8.057715799436593e-05
2023-11-14,pca,5,-0.00018477102203662277,1.0221714755600317,0.0,-0.00026533329170719266
2023-11-15,pca,5,-0.013623124119536034,1.0082463066770282,0.0,-0.013884842742877157
2023-11-16,pca,5,-0.009880539756201045,0.9982842889598629,0.0,-0.02362819275834871
2023-11-17,pca,5,-0.01942529826359942,0.9788923188949523,0.19999999999999996,-0.042594506330187354
2023-11-20,pca,5,-0.02044193182958587,0.9588818688435965,0.19999999999999996,-0.06216572416505661
2023-11-21,pca,5,-0.011838015988641292,0.9475306099490077,0.19999999999999996,-0.07326782131708653
2023-11-22,pca,5,-0.02411535182517448,0.9246805759249653,0.19999999999999996,-0.09561629385373538
2023-11-23,pca,5,-0.000728747205990432,0.9240067175388263,0.19999999999999996,-0.09627536095273281
2023-11-24,pca,5,-0.0027451246737124403,0.9214702038998345,0.4,-0.09875619775762334
2023-11-27,pca,5,-0.012751994882032602,0.9097196205757583,0.4,-0.1102488541112816
2023-11-28,pca,5,-0.024653053510982903,0.887292254089713,0.0,-0.13218393672233464
2023-11-29,pca,5,-0.02711725129403377,0.8632313270643126,0.4,-0.15571672298723416
2023-11-30,pca,5,-0.025233125500557473,0.8414493026524861,0.4,-0.17702062887411918
2023-12-01,pca,5,-0.019145917661184963,0.8253389835878401,0.4,-0.19277732415054905
2023-12-04,pca,5,-0.01322845469302183,0.8144210242370636,0.4,-0.2034556327452034
2023-12-05,pca,5,0.004385327789062888,0.8179925273866475,0.19999999999999996,-0.1999625245962594
2023-12-06,pca,5,0.005522476555066658,0.8225098719413599,0.19999999999999996,-0.19554433639516755
2023-12-07,pca,5,-0.004180207719950047,0.8190716098249355,0.0,-0.19890712817052603
2023-12-08,pca,5,-0.016486846537462664,0.8055677018905593,0.0,-0.21211462341063392
2023-12-11,pca,5,-0.018403592000393633,0.7907423625762706,0.19999999999999996,-0.22661454442446116
2023-12-12,pca,5,-0.019378570772570436,0.7754189057402168,0.0,-0.24160164920980842
2023-12-13,pca,5,-0.014144842928265455,0.7644507271149139,0.19999999999999996,-0.2523290747587912
2023-12-14,pca,5,-0.008378698818931829,0.7580456247105046,0.0,-0.25859358425705936
2023-12-15,pca,5,0.0013059887101684487,0.7590356237381692,0.19999999999999996,-0.2576253158484525
2023-12-18,pca,5,0.0011962189094997689,0.7599435965042688,0.19999999999999996,-0.2567372732133365
2023-12-19,pca,5,0.009843512423436774,0.7674241107375699,0.19999999999999996,-0.24942095732833447
2023-12-20,pca,5,0.005396122578336748,0.7715652253086809,0.0,-0.2453707408093475
2023-12-21,pca,5,0.0017699705934427934,0.7729308730684004,0.19999999999999996,-0.24403506921162843
2023-12-22,pca,5,3.2462937148425297e-06,0.7729333822290355,0.19999999999999996,-0.24403261512742513
2023-12-25,pca,5,0.0,0.7729333822290355,0.19999999999999996,-0.24403261512742513
2023-12-26,pca,5,0.0,0.7729333822290355,0.19999999999999996,-0.24403261512742513
2023-12-27,pca,5,0.0,0.7729333822290355,0.0,-0.24403261512742513
2023-12-28,pca,5,0.0,0.7729333822290355,0.4,-0.24403261512742513
2023-12-29,pca,5,0.0,0.7729333822290355,0.19999999999999996,-0.24403261512742513
