model,exposure_type,name,weight
cp,industry,C39计算机、通信和其他电子设备制造业,0.2
cp,industry,D44电力、热力生产和供应业,0.2
cp,industry,J66货币金融服务,0.18181818181818182
cp,industry,C38电气机械和器材制造业,0.14545454545454545
cp,industry,C36汽车制造业,0.12727272727272726
cp,industry,I63电信、广播电视和卫星传输服务,0.05454545454545454
cp,industry,B07石油和天然气开采业,0.03636363636363636
cp,industry,C32有色金属冶炼和压延加工业,0.01818181818181818
cp,industry,C35专用设备制造业,0.01818181818181818
cp,industry,J67资本市场服务,0.01818181818181818
cp,style,quality_factor,0.5636363636363636
cp,style,volatility_factor,0.43636363636363634
