model,exposure_type,name,weight
tucker,industry,D44电力、热力生产和供应业,0.2708333333333333
tucker,industry,E48土木工程建筑业,0.2
tucker,industry,C31黑色金属冶炼和压延加工业,0.2
tucker,industry,C27医药制造业,0.13333333333333333
tucker,industry,C36汽车制造业,0.09166666666666666
tucker,industry,K70房地产业,0.08333333333333333
tucker,industry,G56航空运输业,0.020833333333333332
tucker,style,momentum_factor,0.31666666666666665
tucker,style,volatility_factor,0.30833333333333335
tucker,style,quality_factor,0.25833333333333336
tucker,style,value_factor,0.11666666666666667
