model,exposure_type,name,weight
cp,industry,E48土木工程建筑业,0.1875
cp,industry,C36汽车制造业,0.17083333333333334
cp,industry,G56航空运输业,0.1625
cp,industry,C27医药制造业,0.15
cp,industry,C31黑色金属冶炼和压延加工业,0.14583333333333334
cp,industry,K70房地产业,0.13333333333333333
cp,industry,D44电力、热力生产和供应业,0.029166666666666667
cp,industry,J66货币金融服务,0.020833333333333332
cp,style,momentum_factor,0.7083333333333334
cp,style,volatility_factor,0.15833333333333333
cp,style,value_factor,0.0875
cp,style,quality_factor,0.04583333333333333
