model,exposure_type,name,weight
pca,industry,G56航空运输业,0.32083333333333336
pca,industry,J66货币金融服务,0.1875
pca,industry,D44电力、热力生产和供应业,0.13333333333333333
pca,industry,C31黑色金属冶炼和压延加工业,0.1125
pca,industry,E48土木工程建筑业,0.05416666666666667
pca,industry,G55水上运输业,0.05416666666666667
pca,industry,C36汽车制造业,0.05416666666666667
pca,industry,K70房地产业,0.05
pca,industry,C27医药制造业,0.03333333333333333
pca,style,quality_factor,0.4083333333333333
pca,style,value_factor,0.26666666666666666
pca,style,volatility_factor,0.17916666666666667
pca,style,momentum_factor,0.14583333333333334
