trade_date,model,quantile,daily_return,cumulative_nav
2026-03-16,pca,1,0.008501725751182021,1.0085017257511821
2026-03-16,pca,2,-0.10216116085211491,0.8978388391478851
2026-03-16,pca,3,-0.05109980928162744,0.9489001907183725
2026-03-16,pca,4,-0.0370072040653181,0.9629927959346819
2026-03-16,pca,5,-0.026391079909588805,0.9736089200904112
2026-03-17,pca,1,-0.0180501876989847,0.9902980803066233
2026-03-17,pca,2,-0.06296037296037293,0.8413105709768259
2026-03-17,pca,3,-0.03165936967928007,0.9188586087916802
2026-03-17,pca,4,-0.007669604430954546,0.9556070221200039
2026-03-17,pca,5,-0.008319240534756828,0.9655092332973942
2026-03-18,pca,1,-0.00674505861626018,0.9836184617073851
2026-03-18,pca,2,-0.00993534393654616,0.8329518610967191
2026-03-18,pca,3,-0.04991895078101971,0.8729901511246921
2026-03-18,pca,4,-0.011419689356918339,0.9446942867801037
2026-03-18,pca,5,-0.003605584272490303,0.962028008390873
2026-03-19,pca,1,0.004035409657797251,0.9875877651473467
2026-03-19,pca,2,-0.00047604649816340716,0.8325553372801053
2026-03-19,pca,3,-0.0343438826947432,0.8430082797807996
2026-03-19,pca,4,-0.0026706713207240718,0.9421713188415481
2026-03-19,pca,5,-0.001593360240652375,0.960495151211909
2026-03-20,pca,1,0.005167451596023109,0.9926910771205703
2026-03-20,pca,2,0.05843422172324275,0.8812050604556002
2026-03-20,pca,3,-0.03410050675675674,0.8142612702401325
2026-03-20,pca,4,0.05774853801169588,0.9965803350611988
2026-03-20,pca,5,0.017222841197335942,0.9770376066720428
2026-03-23,pca,1,-0.06642385649262139,0.9267527074724078
2026-03-23,pca,2,0.017436971635359066,0.8965706080996994
2026-03-23,pca,3,-0.06569374386162302,0.7607693989165375
2026-03-23,pca,4,0.020682523267838704,1.0171921310293726
2026-03-23,pca,5,0.015067538231785721,0.9917591581644662
2026-03-24,pca,1,-0.018405313747422936,0.9096955331251044
2026-03-24,pca,2,0.03219241678431972,0.9254333827922159
2026-03-24,pca,3,-0.07444008298017724,0.7041376617324109
2026-03-24,pca,4,0.0534095223346755,1.071519876870242
2026-03-24,pca,5,-0.006632371747065963,0.9851814427439622
2026-03-25,pca,1,0.012134258884779148,0.9207340142303715
2026-03-25,pca,2,0.030736780620771453,0.9538782256582387
2026-03-25,pca,3,-0.0772198185090171,0.6497642792880703
2026-03-25,pca,4,0.008359233097880947,1.0804769612900131
2026-03-25,pca,5,0.02573315850792829,1.010533272969162
2026-03-26,pca,1,-0.01470905172413789,0.9071908899908838
2026-03-26,pca,2,0.04269018709214378,0.9945994655747111
2026-03-26,pca,3,-0.08617963314357996,0.5937678320692218
2026-03-26,pca,4,0.09914947322212475,1.1876056828305601
2026-03-26,pca,5,-0.038452312487573526,0.9716759317778614
2026-03-27,pca,1,0.0,0.9071908899908838
2026-03-27,pca,2,0.0,0.9945994655747111
2026-03-27,pca,3,0.0,0.5937678320692218
2026-03-27,pca,4,0.0,1.1876056828305601
2026-03-27,pca,5,0.0,0.9716759317778614
2026-03-30,pca,1,0.0,0.9071908899908838
2026-03-30,pca,2,0.0,0.9945994655747111
2026-03-30,pca,3,0.0,0.5937678320692218
2026-03-30,pca,4,0.0,1.1876056828305601
2026-03-30,pca,5,0.0,0.9716759317778614
