trade_date,model,quantile,daily_return,cumulative_nav
2019-10-24,cp,1,0.041370741845125125,1.041370741845125
2019-10-24,cp,2,0.0034268578657107307,1.0034268578657106
2019-10-24,cp,3,-0.04008191618106899,0.959918083818931
2019-10-24,cp,4,-0.06774162890042712,0.9322583710995729
2019-10-24,cp,5,-0.0074172101392443734,0.9925827898607557
2019-10-25,cp,1,0.001699507628361352,1.0431405593648433
2019-10-25,cp,2,-0.0028089545883140388,1.000608277389271
2019-10-25,cp,3,-0.014329210947051751,0.9461632151039998
2019-10-25,cp,4,-0.07636710062870394,0.8610645022618603
2019-10-25,cp,5,-0.006784272595509039,0.9858488376407294
2019-10-28,cp,1,-0.027805867040448573,1.0141351316666452
2019-10-28,cp,2,-0.018957039337474113,0.9816397069134005
2019-10-28,cp,3,-0.05247030620028337,0.8965177414920483
2019-10-28,cp,4,-0.02183227903429047,0.8422655017819569
2019-10-28,cp,5,-0.0065264438787673296,0.9794147505289191
2019-10-29,cp,1,-0.002078938283917031,1.012026807316358
2019-10-29,cp,2,4.747873528165858e-05,0.9816863139251869
2019-10-29,cp,3,-0.005073158264647604,0.8919695651023948
2019-10-29,cp,4,0.00925151161979898,0.8500577308586484
2019-10-29,cp,5,0.005343838136355861,0.984648584424105
2019-10-30,cp,1,0.019225038611792478,1.031483061763184
2019-10-30,cp,2,0.016910286862780954,0.9982869111029278
2019-10-30,cp,3,0.013224051642852008,0.903765016695161
2019-10-30,cp,4,0.013608745957813029,0.8616259505673787
2019-10-30,cp,5,-0.018972810904139714,0.9659670330247976
2019-10-31,cp,1,0.010015184676289923,1.0418135551172074
2019-10-31,cp,2,0.008211232529094392,1.0064840770607453
2019-10-31,cp,3,0.025253801406014853,0.9265885189444842
2019-10-31,cp,4,0.0026184103155172944,0.8638820408444617
2019-10-31,cp,5,-0.007679978571922319,0.9585484269099837
2019-11-01,cp,1,0.0078125,1.0499527235165607
2019-11-01,cp,2,-0.015343155442744283,0.9910414354157552
2019-11-01,cp,3,0.006237052056243753,0.9323676997718588
2019-11-01,cp,4,-0.0005827505827505908,0.8633786130817319
2019-11-01,cp,5,-0.025252926474291754,0.9343422739631778
2019-11-04,cp,1,-0.022782353865087313,1.0260323290277942
2019-11-04,cp,2,-0.028166760717098394,0.9631270084436699
2019-11-04,cp,3,-0.022173786911778237,0.9116935770736929
2019-11-04,cp,4,-0.03614439472051306,0.8321723156972566
2019-11-04,cp,5,-0.04929109324753811,0.888287521812142
2019-11-05,cp,1,-0.035497359796952344,0.9896108902809896
2019-11-05,cp,2,-0.04119788636513583,0.9234482113946143
2019-11-05,cp,3,-0.02390865686097987,0.8898962081770787
2019-11-05,cp,4,-0.0436417748917749,0.7958548388244299
2019-11-05,cp,5,-0.04927043348806143,0.844521210550422
2019-11-06,cp,1,-0.03119064577397912,0.9587442875481631
2019-11-06,cp,2,-0.03517552370317478,0.8909654369460487
2019-11-06,cp,3,-0.04870213470333634,0.8465563631744504
2019-11-06,cp,4,-0.03741667638215029,0.7660765958729678
2019-11-06,cp,5,-0.05020853739972553,0.8021190357656396
2019-11-07,cp,1,-0.027948916804780788,0.9319484232184206
2019-11-07,cp,2,-0.031220684803001886,0.8631488858687872
2019-11-07,cp,3,-0.044962046124836785,0.8084934569261266
2019-11-07,cp,4,-0.04036931945621203,0.7351506050462445
2019-11-07,cp,5,-0.043133916570513464,0.7675205001973038
2019-11-08,cp,1,-0.04198240063278624,0.8928229911457715
2019-11-08,cp,2,-0.018780946201292392,0.84693813307958
2019-11-08,cp,3,-0.05401569040105769,0.7648221246655241
2019-11-08,cp,4,-0.04666829691567409,0.700842378332209
2019-11-08,cp,5,-0.04953227567297527,0.7295034631968711
2019-11-11,cp,1,-0.008814956695536336,0.8849527951420423
2019-11-11,cp,2,-0.01097767526576049,0.837640721284443
2019-11-11,cp,3,-0.0015350681093326823,0.7636480706126381
2019-11-11,cp,4,0.005897478548952784,0.7049755812246202
2019-11-11,cp,5,-0.021594540218989794,0.713750171320974
2019-11-12,cp,1,0.001323442707266309,0.886123979465048
2019-11-12,cp,2,0.003416367506143103,0.8405024098264615
2019-11-12,cp,3,-0.015668018938761907,0.7516832181797303
2019-11-12,cp,4,0.015362046412154107,0.7158054488228283
2019-11-12,cp,5,0.006672326287636476,0.7185125453518839
2019-11-13,cp,1,0.00909090909090915,0.8941796520056394
2019-11-13,cp,2,-0.003037392983045173,0.837949473704622
2019-11-13,cp,3,-0.007222222222222241,0.746254394937321
2019-11-13,cp,4,0.027815113500597288,0.7357156586261812
2019-11-13,cp,5,0.022034690368557375,0.7343447468146367
2019-11-14,cp,1,0.002114583333333253,0.8960704693947764
2019-11-14,cp,2,-0.006814675961181738,0.8322391195694822
